#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5192.080838319044    All      0.25889960021732733        0.6760660579795186        -0.2255850612829547       0.1258180144516047         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4206.46106270997     All      -1.0272565580414814        0.5898878294784637        0.06054739099160668       0.5294590814611712         
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6187.915823190164    All      1.3919666473980525         -0.18596087545272866      -0.24255807340124902      -0.5248071592530138        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    7995.921241176356    All      0.3749244289372785         -0.08326817853525625      0.4171487173144553        -0.13063297498386137       
Check         All|All|All                       All                  All      0.998534118511177          0.9967248334699974        0.009552973621858252      -0.00016303832409933494    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5192.080838319044    All      -0.00011352062121024523    0.00013405648941839453    -0.002170690746552549     -1.622394841988907e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4206.46106270997     All      -0.0006579058508608003     0.00026513181912317325    -0.0007350978926912257    0.00026785969338282594     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6187.915823190164    All      -0.00044298491016078604    5.084260030495307e-05     -0.000544015409673676     0.00013657895743988453     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    7995.921241176356    All      -2.939256725663654e-05     5.371540877256068e-06     -7.057172411724247e-05    8.174521801247684e-06      
MWEBV         All|All|All                       All                  All      -0.8221219194773415        -3.9651374923467486       0.10092576812130573       -1.0192797207285955        
Redshift      All|All|All                       All                  All      7.430068620109602          -0.980136752517069        13.125330693399395        -2.1537573510198547        
