#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint         7084.827574431601    All      1.7693393570434408         0.050604772909146334      1.5218025957410806         -0.4919373382794028       
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4879.887293677747    All      0.034662325224318905       0.4025595856406383        -2.8589380179554347        -0.007745031936017975     
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4015.71281929899     All      -0.8053609870574207        0.5469018465634079        1.3557435197737562         0.5009770996188382        
Check         All|All|All                         All                  All      0.9986406952103393         1.0000662051131926        0.01860809755940207        0.001294729403417405      
Lambda        VEGAHST|NICMOS2|F110W_faint         7084.827574431601    All      -0.0003250776295246627     1.3002410437121253e-05    -0.00030053862380936147    9.671213306185714e-05     
Lambda        Linear_AB11_off|Knop|Bessell12_I    4879.887293677747    All      -0.00015920533495579025    2.232220470668522e-05     -0.0033520523657286933     -9.045720991607673e-05    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4015.71281929899     All      -0.0006646192231372975     0.0001726838449478871     0.00032466680788623305     0.000287225544223322      
MWEBV         All|All|All                         All                  All      -0.13915623413158285       -2.069801881772193        -0.05333312604311854       -0.6312548162568461       
Redshift      All|All|All                         All                  All      4.119368231568144          -0.3069135523871225       8.614725665134163          -1.057349956948497        
