#Format:      
#Parameter    MagSys|Instrument|Band              RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|NICMOS2|F110W_faint         7084.827574431601    All      1.9848057202097449         0.05921646928168656       1.3547966776019604         -0.5667694156666416       
Zeropoint     Linear_AB11_off|Knop|Bessell12_I    4879.887293677747    All      -0.10396647099920875       0.35903083589090556       -3.080685657713239         0.013336603186775431      
Zeropoint     Linear_AB11_off|Knop|Bessell12_R    4015.71281929899     All      -0.8833765678043958        0.5819263076121572        1.7498462921690272         0.5553849568220554        
Check         All|All|All                         All                  All      0.9974626814061401         1.0001736127847494        0.02395731205774876        0.0019521443421891549     
Lambda        VEGAHST|NICMOS2|F110W_faint         7084.827574431601    All      -0.00028802841493894834    1.4702328284829645e-05    -0.00021944036166583568    8.881674712558908e-05     
Lambda        Linear_AB11_off|Knop|Bessell12_I    4879.887293677747    All      1.704139980662436e-05      0.00010855126801209856    -0.0031739411308418894     -0.0001118306406253631    
Lambda        Linear_AB11_off|Knop|Bessell12_R    4015.71281929899     All      -0.0008916698483766927     0.00019977659905991198    0.00037345903876164036     0.0003721857771162702     
MWEBV         All|All|All                         All                  All      -0.13666024572435376       -2.0689891223447887       -0.045701790832469724      -0.6314625478711672       
Redshift      All|All|All                         All                  All      3.9762818858680813         -0.7696324404957267       6.5063150720930665         -1.2555534727970872       
