#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_B    4262.934893966009     All      -0.7488733594462638       0.4480863992425199         -0.23011570372040158      0.3796201652374882        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_V    5261.7871051213915    All      -0.2257293153531812       0.9328851604839983         0.8863911142215741        0.41695441644479975       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_R    6270.9916698022525    All      1.276102063269694         -0.04068712208242786       -1.3271876301627739       -0.48814784712847625      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N2_I    8103.270459480985     All      0.6895739506324006        -0.3376426454853032        0.6289098305028773        -0.3065328825207849       
Check         All|All|All                       All                   All      0.9910733391026495        1.0026417921587871         -0.04200238915872401      0.0018938520330268327     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_B    4262.934893966009     All      -0.0006021375541269073    0.0003305271743626886      -0.0027708700825545833    0.00018014838018880067    
Lambda        Linear_AB11_off|LOSS|LOSS_N2_V    5261.7871051213915    All      -8.058194300201388e-05    -6.572466041042113e-05     0.00036674060000821255    2.120545432987553e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_R    6270.9916698022525    All      -0.0002078851446792241    -0.00014076958114096595    0.0006414775459989486     5.048794375899483e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N2_I    8103.270459480985     All      -6.436288232564559e-05    3.119384490735508e-05      7.297280492323774e-06     3.145161389591174e-05     
MWEBV         All|All|All                       All                   All      -0.7621492754600507       -4.105040633782053         0.22374016482120673       -1.078905197309934        
Redshift      All|All|All                       All                   All      5.8025757194841           -0.8568347605347526        5.4259780598803875        -1.927052601242749        
