#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5354.11727281718     All      0.5646128612898448        0.43532130043502093       0.039636776066356315       -0.040345707665711106      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8233.567536415501    All      0.3248555321405798        -0.07594102996453245      0.06348318020183928        -0.12771966332816295       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6289.533409578507    All      1.2820096818396125        -0.1399277675062649       0.07684051300635636        -0.4597427684247578        
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4337.767295669141    All      -1.1728765383072344       0.7786239650068083        -0.17904813563404579       0.6276778204339344         
Check         All|All|All                                   All                  All      0.9986015369628025        0.9980764679710319        0.0009123336405061633      -0.00013031898469750836    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5354.11727281718     All      3.90410673997532e-05      1.3282550968601891e-05    -0.0014570900725911218     -7.341363399874105e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8233.567536415501    All      -3.966037875413827e-05    1.5578451068612532e-06    -7.576247803124821e-05     1.004520012075522e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6289.533409578507    All      -0.000381072614996877     2.3079500235216592e-05    -0.00041290053391321746    0.00011321978569575988     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4337.767295669141    All      -0.0005298864196929741    0.00017119603709634746    -0.001149063313895765      0.0001770882028617595      
MWEBV         All|All|All                                   All                  All      -0.8511188548169386       -4.051437081110976        0.013040998014737645       -1.041866973800006         
Redshift      All|All|All                                   All                  All      5.015113930506448         -0.4327079029410541       2.666051953090903          -1.6555611452358467        
