#Format:      
#Parameter    MagSys|Instrument|Band                        RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5354.11727281718     All      0.5564197754487782         0.4597345436597955        0.3179639609080187         -0.017304289623643054      
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8233.567536415501    All      0.33874066655594776        -0.08629405620501629      0.06206081809286834        -0.13567830315382445       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6289.533409578507    All      1.3281462725428004         -0.17410992883721832      0.08520777529279489        -0.48553183588433413       
Zeropoint     Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4337.767295669141    All      -1.2238184669972678        0.7985792025223759        -0.4668586979529543        0.6379276963843938         
Check         All|All|All                                   All                  All      0.9994882475502584         0.9979097611399368        -0.0016261436592723832     -0.0005867322774077977     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_V_thin    5354.11727281718     All      0.00010581800273220577     8.469124532858411e-05     -0.00221481331652302       -0.00010571862598282588    
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_I_thin    8233.567536415501    All      -4.2817304547309755e-05    2.929710273811472e-06     -8.17806631358802e-05      1.1251812368568612e-05     
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_R_thin    6289.533409578507    All      -0.00021247186248643838    2.4909216783557117e-05    -0.00025872976819960443    6.577690587187286e-05      
Lambda        Linear_AB11_off|CfA1_FLWO|CfA1_FLWO_B_thin    4337.767295669141    All      -0.0009048984197265318     0.0004067209969621372     -0.0012620865660701382     0.00037091646812282083     
MWEBV         All|All|All                                   All                  All      -0.8337637577727453        -4.057381187469833        0.04950871181765848        -1.0478289042925304        
Redshift      All|All|All                                   All                  All      4.928913721767826          -1.7882842551451894       6.059600950523658          -1.9176002106486234        
