#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|z           5599.066720492135     All      1.1914833062190113         0.09187659268565795        0.050074128533799354       -0.3559435042098446       
Zeropoint     AB|MEGACAMPSF|g           3118.760378345964     All      -0.2551905496905978        0.05035690521317804        0.18283774044653395        0.1076860668876062        
Zeropoint     AB|MEGACAMPSF|r           3975.4921535833823    All      -1.1407162560946538        0.38784247529246585        -0.8202499345784475        0.46129787959279234       
Zeropoint     AB|MEGACAMPSF|i           4861.068628785058     All      1.1913622568678965         0.46964611109281407        0.5984184574856333         -0.20838202511386014      
Check         All|All|All               All                   All      0.9869387573016563         0.9997220842841159         0.011080391887519081       0.004658417156693767      
Lambda        AB|MEGACAMPSF|z           5599.066720492135     All      -0.00015309537968551974    -1.1366519213796184e-05    -0.00023865405661856548    3.5515718148201986e-05    
Lambda        AB|MEGACAMPSF|g           3118.760378345964     All      -0.0007122102765391041     0.00013669493405258634     0.00043538796628202686     0.00029594572051215904    
Lambda        AB|MEGACAMPSF|r           3975.4921535833823    All      -0.000879362601626209      0.00023392912765114583     -0.001255242644478507      0.00030662002833348515    
Lambda        AB|MEGACAMPSF|i           4861.068628785058     All      -0.00019795139704232163    -0.00011471039480759802    -0.0009925625217051042     -1.717917369344485e-05    
MWEBV         All|All|All               All                   All      -0.2913840270298371        -2.1693951411775103        0.18607168502100108        -0.6034264799022138       
Redshift      All|All|All               All                   All      3.2659791603254944         0.2747796159381366         1.3635735144657053         -0.9134820758650021       
