#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|z           5599.066720492135     All      1.3051584293292589         0.0783050077476588         -0.38200229957449094       -0.4166735298447249        
Zeropoint     AB|MEGACAMPSF|g           3118.760378345964     All      -0.20639642161986327       0.053294533567971314       0.3946802141199801         0.10220265293885077        
Zeropoint     AB|MEGACAMPSF|r           3975.4921535833823    All      -1.250740545051416         0.397307613166209          -0.9441339144434568        0.4946911439540298         
Zeropoint     AB|MEGACAMPSF|i           4861.068628785058     All      1.0819860500892557         0.4617533753424219         0.7422012037865966         -0.16890915629578832       
Check         All|All|All               All                   All      0.9300075127472353         0.990660529824261          -0.18925479611137108       0.011311110752367376       
Lambda        AB|MEGACAMPSF|z           5599.066720492135     All      -0.00022552867751663542    -2.1099065085725857e-05    -0.00047743385942490964    4.5283769931497376e-05     
Lambda        AB|MEGACAMPSF|g           3118.760378345964     All      -0.0005105594784107909     0.00012418937458596874     0.00087835492936956        0.00024595553039752095     
Lambda        AB|MEGACAMPSF|r           3975.4921535833823    All      -0.0007275667600308716     0.00017615116285070632     -0.0010057917773597773     0.0002494867913300614      
Lambda        AB|MEGACAMPSF|i           4861.068628785058     All      -0.00020890319599647404    -0.00012944116104385644    -0.0017077405970137175     -5.0325220468489165e-05    
MWEBV         All|All|All               All                   All      -0.2849093865427301        -2.1899015512683917        -0.25391529091547405       -0.6318496936746194        
Redshift      All|All|All               All                   All      3.16447601438118           0.45853405246507606        1.1284733452184836         -0.8310557373358866        
