#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5500.4100647415935    All      0.7765646269034605         0.6412157592864176         -1.138268659996786        -0.09488328144514743       
Zeropoint     AB|SDSS|SDSS_g            4209.386712254069     All      -0.9926554838041113        0.6674889763299774         -0.09362525783454798      0.53658560254422           
Zeropoint     AB|SDSS|SDSS_z            7930.321978772056     All      0.09682633424185577        -0.0043749830208383855     0.0638862514146206        -0.03011364847520884       
Zeropoint     AB|SDSS|SDSS_i            6670.208577268257     All      1.1238983523207853         -0.3148553599752191        1.016063679894234         -0.42330716226400467       
Zeropoint     AB|SDSS|SDSS_u            3201.181975977637     All      -0.008510199605100667      0.007248663152736867       0.1520391254867973        0.011917987931442595       
Check         All|All|All               All                   All      0.9961236300568899         0.9967230557730744         9.513896431787017e-05     0.00019949829130165575     
Lambda        AB|SDSS|SDSS_r            5500.4100647415935    All      2.349586175247166e-05      0.0002524362595024611      -0.0024104576577863514    -3.299423497287972e-05     
Lambda        AB|SDSS|SDSS_g            4209.386712254069     All      -0.000909314711722352      0.0004098284714374988      -0.001117221838852892     0.00037983185382312854     
Lambda        AB|SDSS|SDSS_z            7930.321978772056     All      1.622738292987848e-05      -1.7380131236088384e-08    4.056971052761713e-05     -3.4810139149286718e-06    
Lambda        AB|SDSS|SDSS_i            6670.208577268257     All      -0.0005799229677860794     0.00017371341139851753     -0.0009541455346554264    0.00020290502962110865     
Lambda        AB|SDSS|SDSS_u            3201.181975977637     All      -1.0773690042266362e-05    7.278785631915845e-06      0.0001673553028697768     1.3348583767863725e-05     
MWEBV         All|All|All               All                   All      -0.6521398789825912        -3.5504516355739923        0.242782905688158         -0.9332412047270762        
Redshift      All|All|All               All                   All      3.262241431766922          -1.48692108084294          4.78408966975063          -1.333466523730953         
