#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5500.4100647415935    All      0.8656797239088554        0.49082632019370465       -0.9839508308771894       -0.16601129236004097      
Zeropoint     AB|SDSS|SDSS_g            4209.386712254069     All      -1.0489356195427324       0.7183980180334615        -0.07751725832645384      0.5722194700929869        
Zeropoint     AB|SDSS|SDSS_z            7930.321978772056     All      0.11615987427802876       0.004527924062358579      0.11861180621930423       -0.031069098620073454     
Zeropoint     AB|SDSS|SDSS_i            6670.208577268257     All      1.0676342281488147        -0.21599541389960564      0.831867125706065         -0.3809979953832865       
Zeropoint     AB|SDSS|SDSS_u            3201.181975977637     All      -0.002536025754653691     0.0011685725693766358     0.11049405317846706       0.006137551664325835      
Check         All|All|All               All                   All      0.9980021810383128        0.9989254209592957        -0.000495104099806909     0.00027863539391181913    
Lambda        AB|SDSS|SDSS_r            5500.4100647415935    All      9.717723326069404e-05     0.00017771456353352628    -0.002456861019643434     -8.340476528283983e-05    
Lambda        AB|SDSS|SDSS_g            4209.386712254069     All      -0.000937310855723947     0.00047160460345112596    -0.0008779285167543848    0.00041975219947222223    
Lambda        AB|SDSS|SDSS_z            7930.321978772056     All      2.6021457245652356e-05    9.2697871034314e-06       0.00010368208543123223    -8.29714800697766e-07     
Lambda        AB|SDSS|SDSS_i            6670.208577268257     All      -0.0006004996367090713    7.122081816580427e-05     -0.0008792691211573832    0.00017956370855905997    
Lambda        AB|SDSS|SDSS_u            3201.181975977637     All      1.433849401343269e-06     2.0659570900269117e-06    0.00017450761204526927    7.993371511037635e-06     
MWEBV         All|All|All               All                   All      -0.6446434685304707       -3.562881922421113        0.0922733986715496        -0.9464485336392964       
Redshift      All|All|All               All                   All      3.5665749752151936        -1.350609220126131        6.135541048071502         -1.3278876455229738       
