#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_z          5140.521117913925     All      1.9045804278220468       0.2664621670463774         -0.4892592757755247       -0.5554224044159337       
Zeropoint     AB|DECam|DECam_i          4386.660651423993     All      0.5130185427645912       0.5561767014274466         1.0560215749036057        0.0611834248940226        
Zeropoint     AB|DECam|DECam_r          3610.7914797875665    All      -1.4257595368735785      0.17606205347640014        -0.5650261543296423       0.49655146814554324       
Check         All|All|All               All                   All      0.9918394337130595       0.9987009219502241         0.0017361447984386436     0.0023124886236321474     
Lambda        AB|DECam|DECam_z          5140.521117913925     All      0.0006198101658944667    5.0615591713083095e-05     -0.001627168950855088     -0.0002580184757161338    
Lambda        AB|DECam|DECam_i          4386.660651423993     All      -0.000377390300283853    -0.00015942946764234433    -0.0021129683492726106    -2.329505902568046e-05    
Lambda        AB|DECam|DECam_r          3610.7914797875665    All      -0.002250055009155174    0.00022377246427227534     -0.0018179330922026519    0.0007246809901614613     
MWEBV         All|All|All               All                   All      -0.14317949979238764     -1.793034449364228         -0.0485803378818618       -0.5395799530493992       
Redshift      All|All|All               All                   All      3.2557319661191495       0.3584279595708395         1.508515457693982         -0.8764291168873728       
