#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      0.19265498931447742        -0.026624086840065786      0.04211310426063264        -0.06954709474620083       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5361.4207631273775    All      0.3650892593013073         0.12591689388390392        0.10171464942909658        -0.07336725030801863       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6360.8512615110785    All      0.5009404578012654         -0.0359668828654236        0.03359051637765731        -0.17338939411171012       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4349.7832464171815    All      -0.3336072120103089        0.2524562438333433         0.08549575691154665        0.19471543144642806        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -0.21838405337123878       0.28443202723540395        -0.0512873483790921        0.16149502080739647        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.22539871017116747       0.09963416710583317        -0.010169920698555046      0.10542006454113961        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      0.6055661831191509         -0.046000836235826625      -0.02668126737814802       -0.21342747654260058       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.3844446978480651        0.2475243657210413         -0.14839913222002288       0.19923074347067207        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7865.112995478054     All      0.15018601807415666        -0.022171861764341827      0.02844479609040995        -0.05487327126192584       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.3280871961769348         0.12371532518384853        -0.0528372158245638        -0.06892852428698748       
Check         All|All|All                              All                   All      0.9806894303865124         1.0029153552577164         0.0019839385689612854      0.007328249008192733       
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      -2.9755278480000848e-05    1.11502216112281e-06       -3.491527849995249e-05     8.497364002159664e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5361.4207631273775    All      9.835930170119506e-05      1.3570644759193835e-05     -0.0001874881328391878     -3.5985189296732886e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6360.8512615110785    All      -0.0001046258257238257     -1.6553865714236497e-07    -9.532272123809276e-05     2.9772336891551997e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4349.7832464171815    All      -0.00014195272756533045    6.751550175380496e-05      -0.00015050012454832318    6.151456425277366e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -6.188512900510688e-05     7.136330684800384e-07      -0.0005393202891116137     -3.6769112490893073e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.0002701161624879259     8.38666210489248e-05       -0.00014298574937373417    0.0001089230410008629      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      -1.5195141894967313e-05    -1.7385315897402366e-06    -6.599733536847104e-05     1.4381027230444765e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.0002664095831235414     7.41944525595562e-05       -0.0006366189346366499     8.25365607940966e-05       
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7865.112995478054     All      2.139677628242235e-06      6.64330463149224e-07       9.259112382322356e-06      -6.737744909278437e-08     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.0001506112444445996      -4.541095321061333e-06     -0.00048651471987130104    -7.224913888860886e-05     
MWEBV         All|All|All                              All                   All      -0.9942501485426556        -4.000833177747332         0.0035945033046269614      -0.9791826000820659        
Redshift      All|All|All                              All                   All      4.003464285030507          0.329828240622021          3.324330535594555          -1.048274514994147         
