#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      0.18882463471497732        -0.026046478436736464      0.0405012529302706         -0.06818320570041261       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V           5361.4207631273775    All      0.36379038142916953        0.12910372115078061        0.12552866231357512        -0.07084339854769679       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R           6360.8512615110785    All      0.4948079180423337         -0.03611353503263359       0.01997603724278267        -0.17204714526798245       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B           4349.7832464171815    All      -0.320197183102532         0.2333724182696173         0.033472586983845753       0.18180955888890427        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -0.23745521940366432       0.2920244032152297         -0.0866432997462848        0.16860243991975668        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.19243618373407198       0.08274341566707477        -0.02497165456354076       0.08852067841235885        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      0.5950423388437733         -0.041706994822288124      -0.025396526332505796      -0.20854353673407647       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.3797153898723169        0.2459708798488336         -0.11295716981581626       0.19876584281966897        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I           7865.112995478054     All      0.14472327409847452        -0.02113748969083673       0.030206276098014354       -0.052678340053382185      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      0.33783068986615006        0.13874513892613294        0.0007615012738603094      -0.06481473135683982       
Check         All|All|All                              All                   All      0.9952152608822934         0.996955479095174          0.0004776663842011642      0.0005881623802984071      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7527.567144607599     All      -3.549602525570173e-05     7.270328373039357e-07      -4.4906797420256305e-05    9.795057604700507e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V           5361.4207631273775    All      8.328818849461734e-05      1.4542951963983705e-05     -0.00015962465666678687    -2.9515900486639557e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R           6360.8512615110785    All      -0.00012530497792555736    -7.237362015881325e-06     -0.00017771920788357313    3.052771479792395e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B           4349.7832464171815    All      -0.00011696789990497055    5.147243781857603e-05      -0.0001486167657961748     4.823447583370379e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4756.253925233275     All      -6.968321614536719e-05     -2.0888296884738324e-05    -0.0006164506541653575     -1.1615250931604264e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3558.1316405463676    All      -0.00026396371976287325    6.714719782477528e-05      -0.0002851403703674099     9.51292139567796e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6156.747982826267     All      -7.135527638809844e-05     -1.9046991098126257e-05    -0.0002591023422215847     5.475981891079831e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4353.92383786672      All      -0.0002266479038727993     7.016179917534027e-05      -0.00043606297729339625    7.722119712017729e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I           7865.112995478054     All      4.9401353029328805e-06     1.0847659372291952e-06     2.088333397965367e-05      -3.2389335846616694e-07    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5319.290102583695     All      9.954367326643841e-05      1.011559752323295e-05      -0.0003656820715709982     -4.544837770307239e-05     
MWEBV         All|All|All                              All                   All      -0.9885792341009259        -4.001137888355011         0.010151176340046555       -0.9808364635490223        
Redshift      All|All|All                              All                   All      4.362329624355341          0.6414083271273796         2.3631488257628153         -1.1065700026379335        
