#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5553.99962915977     All      1.0891547690150107         0.23494600477196315        -0.5065581059289173        -0.30084925887795094       
Zeropoint     AB|SDSS|SDSS_z            6603.242585145057    All      0.1964631127866529         0.04008886252258037        0.3894048045312553         -0.03355888991638129       
Zeropoint     AB|SDSS|SDSS_g            3504.977688182558    All      -0.9858858028108064        0.2731267444939789         -0.12103683496512266       0.404700488897252          
Zeropoint     AB|SDSS|SDSS_r            4579.958048675106    All      0.6952017189159059         0.4500422081132882         0.2329890977411566         -0.06945928482478148       
Check         All|All|All               All                  All      0.994933797906763          0.9982038199018106         -0.005201038621628018      0.0008330552781383171      
Lambda        AB|SDSS|SDSS_i            5553.99962915977     All      -1.7436736955054558e-06    -4.545014191047734e-06     -0.00021931739538506086    -1.0699616828435057e-05    
Lambda        AB|SDSS|SDSS_z            6603.242585145057    All      -6.602554554748636e-05     -1.4050099974618601e-05    -0.00015428657082338466    1.0045011521193504e-05     
Lambda        AB|SDSS|SDSS_g            3504.977688182558    All      -0.0015919022287216947     0.0003784274395891708      -0.0009254487012443758     0.000600502669785142       
Lambda        AB|SDSS|SDSS_r            4579.958048675106    All      -0.0006034393135746373     -0.00023095961523302914    -0.003402803118396198      -3.052258269663552e-05     
MWEBV         All|All|All               All                  All      -0.639804608149912         -2.690646479786807         -0.012419595515942254      -0.6685808977923711        
Redshift      All|All|All               All                  All      7.979342710391715          0.7415247311602258         8.546008996547656          -1.9762263018581305        
