#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            5553.99962915977     All      1.1502383668556186        0.2236791637326263         -1.0644926110123798       -0.34931423154126656       
Zeropoint     AB|SDSS|SDSS_z            6603.242585145057    All      0.27006216214963863       0.056172821694389086       0.6890046771447667        -0.03892368067961449       
Zeropoint     AB|SDSS|SDSS_g            3504.977688182558    All      -1.0931217512540057       0.30945484242721477        0.43982687503264506       0.47649279334224526        
Zeropoint     AB|SDSS|SDSS_r            4579.958048675106    All      0.6691756563036888        0.4101053994034487         -0.045363165271095074     -0.08641205555126388       
Check         All|All|All               All                  All      0.9963544340549402        0.9994122272576789         0.01897577589393684       0.0018428255701003204      
Lambda        AB|SDSS|SDSS_i            5553.99962915977     All      -0.0001667049443577549    -3.4757358368087646e-05    -0.0005048641627507834    2.0449900877136785e-05     
Lambda        AB|SDSS|SDSS_z            6603.242585145057    All      -7.355775287508918e-05    -1.658147676341081e-05     -0.0002635573507310006    6.797693505384786e-06      
Lambda        AB|SDSS|SDSS_g            3504.977688182558    All      -0.0023579499759341675    0.00014617279971970167     -0.0045442974473300325    0.0006128840473516791      
Lambda        AB|SDSS|SDSS_r            4579.958048675106    All      -0.0005049837308825657    -0.00024480828636177035    -0.0031729560537150565    -5.6846754018947016e-05    
MWEBV         All|All|All               All                  All      -0.5944419004495436       -2.6775962458664537        0.2961485441727696        -0.6653361546792316        
Redshift      All|All|All               All                  All      10.231954494994536        1.7640214057276893         20.083312764520155        -1.8620583845366732        
