#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                            6126.9921194034205    All      1.0348594779937221         -0.11825968386778296      -0.6418730305723763        -0.40425269285013704      
Zeropoint     AB|PS|PS_i                            7421.114420338572     All      0.7415266334546595         0.035509938316335976      4.296229247592096          -0.03825188541309657      
Zeropoint     AB|CNIa02|SDSS_i                      7385.92774458396      All      0.10912550851479129        -0.0061501554911247425    0.3195878058998347         -0.023287340259817157     
Zeropoint     AB|PS|PS_g                            4824.661138541748     All      -0.6040553861277906        1.2196836137153166        4.834576126934167          0.8097967196198985        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.744267402296     All      -0.22461825254319717       -0.019819639145202128     -3.5439062403804567        -0.091438612877566        
Zeropoint     AB|CNIa02|SDSS_r                      6090.608836763208     All      -0.11752608532899272       -0.06727924604500446      -2.713008935571093         -0.10470207976848583      
Zeropoint     AB|PS|PS_z                            8528.671271538546     All      0.2403418119613756         -0.12953368458580306      -1.1640214181420194        -0.1724255475024871       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.7594771709255    All      -0.21654699858895637       0.05838043591623876       -1.4758872857688787        0.02369083920353704       
Check         All|All|All                           All                   All      0.9631067093356118         0.972531578812974         -0.08830373000872571       -0.0008705998481541577    
Lambda        AB|PS|PS_r                            6126.9921194034205    All      -7.573927522026701e-05     1.8981611603856878e-05    0.0002660643710844321      4.272693995527397e-05     
Lambda        AB|PS|PS_i                            7421.114420338572     All      -0.00017688205254821294    1.327998177708992e-05     -0.0007094469940539683     3.0282669752413417e-05    
Lambda        AB|CNIa02|SDSS_i                      7385.92774458396      All      1.506962204948652e-05      1.1413912320092011e-05    0.00031014743899539335     1.2649670818558432e-05    
Lambda        AB|PS|PS_g                            4824.661138541748     All      -0.0007390597935880185     0.0002009170428542187     -0.0040402988251963794     0.00012588139980141146    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.744267402296     All      -1.3177217757266536e-05    3.061521233068494e-05     -7.879973296360873e-05     1.0748165039718919e-05    
Lambda        AB|CNIa02|SDSS_r                      6090.608836763208     All      9.224252076823155e-05      2.4058783066841824e-05    0.0009941298243514387      2.215376163998612e-05     
Lambda        AB|PS|PS_z                            8528.671271538546     All      0.00022733645920750044     -4.492152095740067e-05    0.00042118924441550453     -6.988763963517166e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.7594771709255    All      -2.0581964865911918e-05    1.6587952886246307e-05    -0.00014732524744337947    5.533015912838838e-06     
MWEBV         All|All|All                           All                   All      -0.6500109162414152        -4.067079018796527        0.8635728262424536         -1.0745142102149496       
Redshift      All|All|All                           All                   All      7.474461102946591          0.7651120784482934        35.883644418450885         -0.5841334655278585       
