#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                            6126.9921194034205    All      1.0896990764862202         -0.07464385773285898      0.43373963894842654        -0.35990899142773447       
Zeropoint     AB|PS|PS_i                            7421.114420338572     All      0.5482320293833047         -0.023998013692150266     1.9722176513701069         -0.09838313512630302       
Zeropoint     AB|CNIa02|SDSS_i                      7385.92774458396      All      0.09802860163721165        -0.016257102866745754     0.02976076003526375        -0.035898527810790316      
Zeropoint     AB|PS|PS_g                            4824.661138541748     All      -0.7858524821157147        1.1179031786914706        2.430137194385309          0.7285617121947794         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.744267402296     All      -0.09340961455026747       0.04689691007495611       -2.117800949939704         -0.04880527866987488       
Zeropoint     AB|CNIa02|SDSS_r                      6090.608836763208     All      0.021183600894794374       -0.04529493209455282      -1.5952425957195104        -0.09284259563613034       
Zeropoint     AB|PS|PS_z                            8528.671271538546     All      0.3274534244487253         -0.10894158297194423      -0.2978342736226492        -0.15543918661464903       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.7594771709255    All      -0.209109432225686         0.10157342251764234       -0.8551148653091487        0.06303977791399837        
Check         All|All|All                           All                   All      0.9962252039585882         0.997238021925817         -0.00013743985190628472    0.00032377482329565277     
Lambda        AB|PS|PS_r                            6126.9921194034205    All      -0.00017229251561686357    1.2990603807462382e-05    -8.463901551241933e-05     5.657575710069203e-05      
Lambda        AB|PS|PS_i                            7421.114420338572     All      -0.0001285921951091213     7.485677746742808e-06     -0.0004515669147415353     2.417368258510546e-05      
Lambda        AB|CNIa02|SDSS_i                      7385.92774458396      All      -1.992618528656536e-05     3.2970116382410736e-06    -6.216905587112096e-06     7.287127315756377e-06      
Lambda        AB|PS|PS_g                            4824.661138541748     All      -0.000679210512457179      -6.440916997057371e-05    -0.004925809815412318      -1.9555245024391684e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.744267402296     All      -2.5391487538947295e-06    8.909656548748426e-06     -0.00015815280712065       -3.328380870646871e-06     
Lambda        AB|CNIa02|SDSS_r                      6090.608836763208     All      -9.790335171085615e-07     1.8351185309824361e-06    6.439480833674164e-05      3.790306446327233e-06      
Lambda        AB|PS|PS_z                            8528.671271538546     All      0.0002470108187031069      -7.156197562563592e-05    -8.253351465659718e-05     -0.00010745273154289794    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.7594771709255    All      -6.916897111475594e-07     2.8914931663686965e-07    -2.9655263090301576e-06    1.8715372099260506e-07     
MWEBV         All|All|All                           All                   All      -0.7099169466869077        -4.086002735226835        0.17665712069841252        -1.0918188153108288        
Redshift      All|All|All                           All                   All      6.86527865410301           1.6391824811941902        24.238402124960324         -0.6206628930909625        
