#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.8755858768209246       0.46376252488062875       0.1816208261325373        0.4443747410038147         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      0.31243726085865964       -0.03638872783291447      -8.5819675437354          -0.4965978964766528        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      0.3398846779402891        0.6436700392868033        3.952034713252919         0.27531404464565606        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      1.2219453896163583        -0.07344934921036383      4.496535574121908         -0.22129295282476247       
Check         All|All|All                              All                   All      0.9986814515943825        0.9975944871241538        0.04822356977196396       0.0017979363480554733      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.00067326333681409      0.00026108215314897705    -0.0010005046522986645    0.00025969913765412053     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      -6.46771965303775e-05     1.5618939831349408e-05    0.0015689874184921413     9.617179566617274e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      -4.427962798763077e-05    -9.784878037052054e-05    -0.000579617792751305     -4.3314915306129825e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      -0.0009659564710246309    6.517126697936019e-05     -0.003452636127254797     0.00018179693438764947     
MWEBV         All|All|All                              All                   All      -0.713038847470747        -3.681948474343244        0.3783493706477459        -0.9501875449816795        
Redshift      All|All|All                              All                   All      9.316440946483443         0.46316493925928626       28.801817538711976        -1.5985104248927087        
