#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.9142412917717173        0.4913442504925314         0.43428357369625914       0.4772255348080248        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      0.12858394670550988        -0.02971747226183652       -10.063402035589485       -0.5006473934342365       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      0.3934425502187435         0.6020777821214907         3.842822710814464         0.2394468870632993        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      1.3927868220974107         -0.06822414303577773       5.843656989481882         -0.21512376468214023      
Check         All|All|All                              All                   All      1.0005720272499468         0.9954804173164078         0.057361238403120574      0.0009012637549474234     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4046.0022343286623    All      -0.0005785485196455923     0.00019296705287754728     -0.0010527656194592543    0.00020432790966033284    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5721.325641497383     All      -3.065867361181046e-05     1.4173232106245439e-05     0.0020182397937705734     0.00010466799917414478    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    4942.517294888024     All      -0.00010550511641924486    -0.00013194429166834686    -0.0013084214045067123    -6.700094712264548e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            6995.196659449167     All      -0.0010007241561600436     6.13092619504265e-05       -0.00403753294318604      0.00016576267260390315    
MWEBV         All|All|All                              All                   All      -0.7110247187926548        -3.678147016063704         0.4541715023488102        -0.9462217594297273       
Redshift      All|All|All                              All                   All      9.751114185121676          0.8502178900545942         33.062355644174524        -1.4238936716010329       
