#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5398.903651098609    All      0.40263505307816216        0.3562784510783068         -0.18936251665397918      -0.02355024976594478      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6195.396813938391    All      1.245711924177262          -0.11523104120296779       0.07496363360157687       -0.43995861484586773      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7591.263533430631    All      0.47763796870051106        -0.09347350613504446       0.17737831901256662       -0.17811421665499477      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4413.049031453353    All      -1.1281676625135786        0.8504191493591051         -0.06226512154965391      0.6417122117981697        
Check         All|All|All                                All                  All      0.9978172834423571         0.9979930530993997         0.0007143144105103971     8.913053136239135e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5398.903651098609    All      6.241999393489732e-05      3.386634052780058e-05      -0.0007508154439491514    -4.280630919483078e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6195.396813938391    All      -7.765048799929179e-05     2.4578683575554408e-05     0.00021818900377813726    4.30361775545443e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7591.263533430631    All      -0.0001127701361919294     1.8801767789171557e-05     -7.224471403176206e-05    3.963334793444611e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4413.049031453353    All      -0.00035512108817271665    -5.1135226842173034e-05    -0.001740549174793397     2.1345480255325146e-05    
MWEBV         All|All|All                                All                  All      -0.8612310218904633        -4.088534764446994         0.047752954322533014      -1.0491080090600469       
Redshift      All|All|All                                All                  All      4.528964535984705          0.33826346317340494        4.69479569539395          -1.155542039916068        
