#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5398.903651098609    All      0.47403969518226846        0.39824378825255025       -0.10332422941694507       -0.02930010630613672      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6195.396813938391    All      1.2886279836213235         -0.14400862124954728      0.11793626048738179        -0.46139392090687276      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7591.263533430631    All      0.4228710392172385         -0.09830620131703327      0.08798562302391201        -0.16583817921172506      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4413.049031453353    All      -1.1871625159773054        0.8422524344931848        -0.10113038029772392       0.6565342307393166        
Check         All|All|All                                All                  All      0.9983762020435251         0.9981814001791545        0.0014672737966248128      2.0243145820719732e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_2     5398.903651098609    All      0.00010846036388727516     -3.885340203652028e-05    -0.0010545444604992409     -9.504441596488322e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_2    6195.396813938391    All      -0.00029491904652606863    1.719312402899577e-05     -0.00021464691413988456    9.208649619475579e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_2    7591.263533430631    All      -9.67465992018678e-05      1.3946911645153148e-05    -8.342103125274379e-05     3.233382070534041e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_2     4413.049031453353    All      -0.00045788805307960884    8.319863054946258e-05     -0.0013283604912819884     0.0001169711062942798     
MWEBV         All|All|All                                All                  All      -0.8696298315996085        -4.091043481742185        0.021465262943720757       -1.0483625111137742       
Redshift      All|All|All                                All                  All      4.974697818637212          0.17688555233710268       2.8671220346990016         -1.4348588102756832       
