#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5072.960857894547    All      -1.9918222937552408       1.7147926047998752        -0.1584828348783293        1.2002940554321775        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6074.875643238393    All      2.9893922998713833        -0.7116083759052927       0.16048828856014596        -1.1983758241836926       
Check         All|All|All                            All                  All      0.9975700061161428        1.0031842288945825        0.002005453681816677       0.0019182312484848918     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5072.960857894547    All      6.37791256488086e-05      -0.0001015727279555502    -0.0006194858693284161     -8.150534778578236e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6074.875643238393    All      -0.0004242616167302534    7.97005802692852e-05      -4.5678150672926113e-05    0.00016211866135418493    
MWEBV         All|All|All                            All                  All      -0.4706267530275525       -2.8721785727931604       -0.007112334903799469      -0.7825818272467193       
Redshift      All|All|All                            All                  All      2.9068205223610084        -0.23580675504693005      -8.257557310187314         -1.3921539507829317       
