#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3763.268436994743    All      -1.249107954006785         0.4281464159724635         -0.6876586599639634        0.5156498806397999         
Zeropoint     AB|SDSS|SDSS_r            4917.466843070339    All      0.9747260516881151         0.4137986776775904         0.09956442003591359        -0.17826939689433371       
Zeropoint     AB|SDSS|SDSS_i            5963.288032893414    All      1.1126001071642833         0.13647292670562194        0.37910332801072144        -0.30103909593524186       
Zeropoint     AB|SDSS|SDSS_z            7089.852379454478    All      0.1614137150580816         0.02076394240742019        0.21572129848175248        -0.03618760741324473       
Check         All|All|All               All                  All      0.9996319199036948         0.999181962763096          0.006730386564424151       0.0001537803969795526      
Lambda        AB|SDSS|SDSS_g            3763.268436994743    All      -0.0018090683287339128     0.00041674989644010016     -0.002746306131543653      0.0006024671938607598      
Lambda        AB|SDSS|SDSS_r            4917.466843070339    All      -0.00022663409640167242    -8.049586760085881e-05     -0.001334604297060689      -1.1955231236645214e-05    
Lambda        AB|SDSS|SDSS_i            5963.288032893414    All      -0.00020572466438493922    -3.217404377750309e-05     -0.00013806321929313645    5.037001940204445e-05      
Lambda        AB|SDSS|SDSS_z            7089.852379454478    All      -3.220906645934782e-05     -3.6723532231440494e-06    -4.5927416859043306e-05    7.245816653587895e-06      
MWEBV         All|All|All               All                  All      -0.5477522875442866        -2.999809340239601         0.19605694807778296        -0.789966531208032         
Redshift      All|All|All               All                  All      5.087568523294909          0.627028352432113          7.139495504540516          -1.134341787211969         
