#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            3763.268436994743    All      -1.123164787322452         0.47120317199897954        -0.1367616651069531        0.5132350525087228         
Zeropoint     AB|SDSS|SDSS_r            4917.466843070339    All      0.8814201506706687         0.3925972784156073         -0.060398143465517154      -0.1619209830325203        
Zeropoint     AB|SDSS|SDSS_i            5963.288032893414    All      1.1155770409081385         0.12063464391012246        0.06652479793221208        -0.3211167751404896        
Zeropoint     AB|SDSS|SDSS_z            7089.852379454478    All      0.12535146726293817        0.014530547279001382       0.13572907270180393        -0.03004105440514321       
Check         All|All|All               All                  All      0.9991838715192936         0.9989656416037107         0.005094062061545779       0.00015623993056967586     
Lambda        AB|SDSS|SDSS_g            3763.268436994743    All      -0.0017242166910330994     0.0005442373785710417      -0.00175856351816481       0.0006604335073666327      
Lambda        AB|SDSS|SDSS_r            4917.466843070339    All      -0.00011691806281422798    -4.223646230282253e-05     -0.0009810733984986324     -1.9454545629611466e-05    
Lambda        AB|SDSS|SDSS_i            5963.288032893414    All      -0.00012375617626779445    -1.4445600001105245e-05    -1.6761199139846134e-05    3.4858075564993584e-05     
Lambda        AB|SDSS|SDSS_z            7089.852379454478    All      -4.481939117037419e-05     -5.935515526508145e-06     -6.0355611785478926e-05    9.972363788031085e-06      
MWEBV         All|All|All               All                  All      -0.5507715562958699        -3.004874226088461         0.13145203828051355        -0.7935158764000524        
Redshift      All|All|All               All                  All      4.354997764645222          0.02546594587222728        3.7038776150774373         -1.2449839040740671        
