#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8458.688598818371    All      0.3930393313246589         -0.09717527681649685      0.10383481284337905        -0.15504535465199115       
Zeropoint     AB|PS|PS_r                6076.716610991905    All      1.2023461289988044         -0.007683017172332995     -0.2830757541683851        -0.40677867247303134       
Zeropoint     AB|PS|PS_g                4785.072007867775    All      -1.1234819888951795        1.2208964125874466        -0.08095185854922919       0.7600286634727629         
Zeropoint     AB|PS|PS_i                7360.219891148468    All      0.5273157710520953         -0.11690133556108151      0.2613662020268646         -0.19817913255227892       
Check         All|All|All               All                  All      0.999219242480379          0.9991367830375353        0.0011734021526293437      2.5503795461401246e-05     
Lambda        AB|PS|PS_z                8458.688598818371    All      0.0004216967882652963      -8.933026435119786e-05    -0.00011758373443477339    -0.00017170554535311339    
Lambda        AB|PS|PS_r                6076.716610991905    All      -0.00019721241428027214    1.0391955763212185e-05    -0.0005293917897108178     4.399924913781834e-05      
Lambda        AB|PS|PS_g                4785.072007867775    All      -0.0003864934413589045     -8.219762333143765e-05    -0.0017194444286722042     2.23882512375814e-05       
Lambda        AB|PS|PS_i                7360.219891148468    All      -0.00012058604000221714    2.103971311463002e-06     -0.0011343450067254205     -1.0656434725635989e-05    
MWEBV         All|All|All               All                  All      -0.6875302150066651        -4.057659468251806        0.03912073936004448        -1.0960161928185066        
Redshift      All|All|All               All                  All      5.606476357956765          1.1400146885060636        12.354816787733823         -0.9035347783489147        
