#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                8458.688598818371    All      0.4310870591824395         -0.10466246199056783      0.234804799939492          -0.1640329848799013        
Zeropoint     AB|PS|PS_r                6076.716610991905    All      1.1737606674572454         -0.008751950740482073     -0.3141387527913264        -0.39920183300656          
Zeropoint     AB|PS|PS_g                4785.072007867775    All      -1.177992990256898         1.2362107794002597        -0.3471538040898281        0.7708937128654239         
Zeropoint     AB|PS|PS_i                7360.219891148468    All      0.5706042688707808         -0.12308666436329219      0.4258940827108759         -0.20695226185755144       
Check         All|All|All               All                  All      0.9974590052535675         0.9997097023059176        -0.0005936742307866005     0.000706633121411171       
Lambda        AB|PS|PS_z                8458.688598818371    All      0.00036432438260140874     -9.467271838902439e-05    -0.00020136319262954028    -0.00015849637080803914    
Lambda        AB|PS|PS_r                6076.716610991905    All      -0.00016292006629210957    2.3942005686839772e-06    -0.0006358767015328081     2.5472038681041967e-05     
Lambda        AB|PS|PS_g                4785.072007867775    All      -0.00048004921935467545    2.8750909545630944e-05    -0.0016548048951267296     9.188659878434671e-05      
Lambda        AB|PS|PS_i                7360.219891148468    All      -0.00017618159519492554    1.7307318397998538e-05    -0.001290114815761544      5.4538058089878014e-06     
MWEBV         All|All|All               All                  All      -0.6969037789436103        -4.0574463260271365       0.023102174702316347       -1.093608322198472         
Redshift      All|All|All               All                  All      5.736751767792138          0.763494332188408         10.807713728256306         -1.1376549364275623        
