#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6007.165574430951    All      0.854865275883981          -0.13521865901093832       -3.1526994421191112        -0.4631934066662012       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4215.376669560545    All      -0.637982863766996         0.726808904202425          2.259810451597466          0.5454025406639329        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5213.131329396873    All      -0.22984009443293946       0.39775983488370414        -2.384787123166676         0.0980078480269736        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7318.667072085709    All      1.0180728292109231         0.002665148685387919       3.3710363182120506         -0.18031781919559745      
Check         All|All|All                                All                  All      1.0051151468949684         0.9920152287605788         0.09336020452372917        -0.0001008371708921263    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6007.165574430951    All      -0.00023039410573826716    1.0747798553502333e-05     -0.00020037066114295037    6.96062292231874e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4215.376669560545    All      -0.00010564632032804194    0.00012426247455283584     0.0003864396844904569      9.213388653292195e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5213.131329396873    All      -5.195750583701301e-05     5.217215835172436e-05      -0.00046038181516240675    1.3373731436966657e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7318.667072085709    All      -0.00048742384858838095    -1.4156888726804895e-05    -0.002082664360225716      6.121887378197165e-05     
MWEBV         All|All|All                                All                  All      -0.7526871631341585        -3.8657551751057007        0.5845821904687742         -0.9879414501229056       
Redshift      All|All|All                                All                  All      6.701470784714103          0.4078110997972395         7.720368988135418          -1.705527405062642        
