#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6007.165574430951    All      0.9033675425151293         -0.12852336606563597      -2.839823579920784         -0.4628491006612094       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4215.376669560545    All      -0.6661777374640978        0.6987984379134282        1.7939201549888897         0.5246720640426723        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5213.131329396873    All      -0.2566407182067353        0.4486388805212904        -2.064567573697163         0.13760059971710567       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7318.667072085709    All      1.019191950779903          -0.01845680968193264      3.16381935840833           -0.19680961184361384      
Check         All|All|All                                All                  All      0.9997410376241993         1.00045714268715          0.05334835977927277        0.002613951254954755      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6007.165574430951    All      -0.00015712764540776913    3.801890316713331e-06     -0.00011038478213406524    4.7494078362252616e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4215.376669560545    All      -0.00014328369111988025    0.0001588539131750106     0.0004405525199346102      0.00011807599333092263    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5213.131329396873    All      -6.250719405666527e-05     5.4252096899766e-05       -0.0005434963751956381     1.3778595294667375e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7318.667072085709    All      -0.0004511114373082253     -3.993957323968676e-06    -0.0017494689242982823     6.757010988774982e-05     
MWEBV         All|All|All                                All                  All      -0.763586024026937         -3.8736406083469177       0.4329461276102492         -0.9937266986440967       
Redshift      All|All|All                                All                  All      6.669792378824033          0.3212279697891063        6.333123933478762          -1.7853180554229109       
