#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6866.76416183542      All      0.36599645727123975       0.06586756387800818       1.488420782973865          -0.031340471050753105     
Zeropoint     AB|SDSS|SDSS_i            5775.648117813883     All      0.8238887868895586        0.06476035529274782       -3.257494764077513         -0.3926401349431369       
Zeropoint     AB|SDSS|SDSS_r            4762.7345786299065    All      1.2442218969276841        0.5207575124748232        3.680508242023189          -0.07141197240901759      
Zeropoint     AB|SDSS|SDSS_g            3644.8540042113323    All      -1.4338390472005127       0.3491672258283174        -1.8734766471575126        0.49717914409389274       
Check         All|All|All               All                   All      1.00026809388797          1.0005526574738965        0.03795761376202833        0.0017865656909851757     
Lambda        AB|SDSS|SDSS_z            6866.76416183542      All      -8.768464844299755e-05    -1.003829658564536e-05    -0.00016444981977912026    1.7953331123000884e-05    
Lambda        AB|SDSS|SDSS_i            5775.648117813883     All      1.4402250099256384e-05    2.8313308483597636e-05    0.0013201514851265543      6.344358692074242e-05     
Lambda        AB|SDSS|SDSS_r            4762.7345786299065    All      -4.163629125400058e-05    -3.460704101694717e-05    -0.0011040994112504663     -4.698122772125748e-05    
Lambda        AB|SDSS|SDSS_g            3644.8540042113323    All      -0.0026574818736467046    0.000513974131701428      -0.005220175833813455      0.0008000950866826349     
MWEBV         All|All|All               All                   All      -0.569187238859787        -2.8711136419323324       -0.013143412291954926      -0.7503996907350304       
Redshift      All|All|All               All                   All      5.6856878787741145        -1.2078784060909342       -0.05586316610906028       -2.24795424710814         
