#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            6866.76416183542      All      0.21536712152324644        0.03985405729771685        0.781416801157811          -0.02229933630843956      
Zeropoint     AB|SDSS|SDSS_i            5775.648117813883     All      0.706528484900766          0.08020351567203932        -2.896678113142951         -0.33328008818544336      
Zeropoint     AB|SDSS|SDSS_r            4762.7345786299065    All      1.3458748208283358         0.5349342690010417         3.4454819754293147         -0.11039398084478104      
Zeropoint     AB|SDSS|SDSS_g            3644.8540042113323    All      -1.2682966513491358        0.3443796684484468         -1.3111419060768013        0.466791491421844         
Check         All|All|All               All                   All      0.999473775903212          0.9993715104192447         0.01907875736737319        0.0008180860831800696     
Lambda        AB|SDSS|SDSS_z            6866.76416183542      All      -0.00010992415420602703    -2.0130278423762705e-05    -0.00039285808530477225    1.1717367457821019e-05    
Lambda        AB|SDSS|SDSS_i            5775.648117813883     All      -8.7508809615942e-05       -3.936504073879663e-06     0.000746442249326514       6.0532538664428264e-05    
Lambda        AB|SDSS|SDSS_r            4762.7345786299065    All      -0.00010723411898468592    -3.8002671435586214e-05    -0.0005870746139547073     -3.647483570910487e-06    
Lambda        AB|SDSS|SDSS_g            3644.8540042113323    All      -0.0021946662393360007     0.0004649323659195697      -0.004235890714454022      0.0006772904160831822     
MWEBV         All|All|All               All                   All      -0.5889138552529811        -2.861519710442373         0.06313547104364993        -0.7374450474450853       
Redshift      All|All|All               All                   All      5.418227864923843          -0.7936721414637304        0.9967649491758573         -1.9789391558144886       
