#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7415.475197419317     All      0.27431294646784254        -0.05538865776930635       0.07009590690161271        -0.10426660097447166       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6086.6257318751       All      0.6586901168995696         -0.05249435283136705       -0.05730451527570235       -0.23421341639208726       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5282.088349322222     All      0.21847619083280417        0.283792100882696          0.5727748395586207         0.046835851162678466       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I             7721.029506438515     All      0.1890395827739698         -0.034845863132115795      0.08260635380781256        -0.0692405131708193        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4271.135827469458     All      -0.4224865811849541        0.34916404549596436        0.3430282884141045         0.2666597727015149         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V             5263.203202845084     All      0.10216218207400271        0.22773069658912348        -0.3789130722041234        0.023992646131321127       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R             6244.324818274092     All      0.588286747240009          -0.07005557162029774       -0.17987971981463513       -0.2224709578094175        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B             4270.0981933137045    All      -0.6117644074897365        0.3489460265263311         -0.45008136688851064       0.29284993053822206        
Check         All|All|All                                All                   All      0.9967167776135072         0.996848424141028          0.0023267144991789834      0.00014671218694084498     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7415.475197419317     All      -0.00011836698551844621    4.37136424229122e-06       -0.00020928330079763625    3.0640565977674685e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6086.6257318751       All      -0.00011757051136692847    -2.4535477609138397e-05    -0.0003619568757130291     1.4152098301337164e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5282.088349322222     All      3.118332499095137e-05      4.273604038054479e-05      -0.00034458589826538727    -1.1614186538359816e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I             7721.029506438515     All      -4.2985594378255845e-05    6.501155245734393e-06      -3.096308994455466e-05     1.4737721922340799e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4271.135827469458     All      -0.00015507178726155988    0.00011445453205943168     4.924872665568426e-05      8.999133383479489e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V             5263.203202845084     All      1.4546785173584844e-05     5.567945656691344e-05      -0.00045158001215487545    -6.753677612993273e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R             6244.324818274092     All      -0.00014772003598021973    9.145205779238526e-06      -0.00011522346903175878    4.595427573358545e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B             4270.0981933137045    All      -0.00033687490945914035    0.0001258827968701516      -0.0006308541027160812     0.0001225832880316576      
MWEBV         All|All|All                                All                   All      -0.8216449531965377        -3.960035281911267         0.040697542060974534       -1.0204608356522398        
Redshift      All|All|All                                All                   All      5.225454257879169          -0.37029797315453195       -0.10557430794442269       -1.8274318929062172        
