#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7333.929264648813    All      0.11877446199463695       0.007863720445477895       0.28461746921032427       -0.023426106927473822     
Zeropoint     AB|SDSS|SDSS_r            5086.756685208827    All      0.7434726712477117        0.352077225865699          -0.9026182293808027       -0.16777007909028752      
Zeropoint     AB|SDSS|SDSS_i            6168.581555337286    All      1.1474882721157407        0.0920456853881646         0.7346634732346424        -0.31100771690372314      
Zeropoint     AB|SDSS|SDSS_g            3892.823579907677    All      -1.008879275736546        0.5466370474170645         -0.09507897992407921      0.5024399032260624        
Check         All|All|All               All                  All      1.0008561296215435        0.998623679116406          0.02158373314008477       0.00023600030457793242    
Lambda        AB|SDSS|SDSS_z            7333.929264648813    All      -4.13703931704873e-05     -4.869054988199949e-06     -0.0001906943669928792    3.379872932984659e-06     
Lambda        AB|SDSS|SDSS_r            5086.756685208827    All      -9.494584735799572e-05    -1.7209850413252084e-05    0.000297139521549134      3.858114377751629e-05     
Lambda        AB|SDSS|SDSS_i            6168.581555337286    All      -0.0001937822583885919    -1.1231134158056617e-05    0.0010134448798262926     0.0001046882973181555     
Lambda        AB|SDSS|SDSS_g            3892.823579907677    All      -0.0009622403510881022    0.000323073554024669       -0.0030032936246337763    0.00028464582362799473    
MWEBV         All|All|All               All                  All      -0.5688688746297101       -3.1604136414127737        0.26599188255924666       -0.8322813937695267       
Redshift      All|All|All               All                  All      5.23178587500759          0.8666755116278679         -4.54062929229857         -1.624487484177403        
