#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7333.929264648813    All      0.11337411278109016        0.008292020773126296       0.2707574383763435         -0.022146033534333816     
Zeropoint     AB|SDSS|SDSS_r            5086.756685208827    All      0.7222531274990529         0.3251318383203028         -0.6965949464771959        -0.16044130190427555      
Zeropoint     AB|SDSS|SDSS_i            6168.581555337286    All      1.187571214332859          0.0887677795324393         0.3257302628550553         -0.343380582667517        
Zeropoint     AB|SDSS|SDSS_g            3892.823579907677    All      -1.0243765539323133        0.5767619891916098         0.11119273261299945        0.5265055203556691        
Check         All|All|All               All                  All      0.9988219006806885         0.9989536278174782         0.011085487367202329       0.0005376022495428012     
Lambda        AB|SDSS|SDSS_z            7333.929264648813    All      -2.7870744336071463e-05    -1.9741107893258755e-06    -6.153981357597285e-05     5.689146282357429e-06     
Lambda        AB|SDSS|SDSS_r            5086.756685208827    All      -6.27806261941934e-05      -1.9808457593228992e-05    -0.00016711802949706149    6.53973894458208e-06      
Lambda        AB|SDSS|SDSS_i            6168.581555337286    All      -0.00023020024618460486    -2.388872470585762e-05     2.80810236600581e-05       6.845557710754893e-05     
Lambda        AB|SDSS|SDSS_g            3892.823579907677    All      -0.0010431891699582965     0.0004385017194500653      -0.00209427844730662       0.00038917744043236315    
MWEBV         All|All|All               All                  All      -0.5687840219183196        -3.1667195034822626        0.17611259621180914        -0.8383739595709854       
Redshift      All|All|All               All                  All      5.362267994356657          0.654816594549601          -2.9923825285613623        -1.6669080802019425       
