#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.726111421934    All      0.2339985173394561        0.8376466682500805        0.9800566309606795         0.24036348838835098        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.938906669708    All      -1.1832966609753075       0.7194422562379899        -0.34994662191397685       0.6041681530980725         
Zeropoint     AB|CNIa02|SDSS_r                      6100.736102299742    All      1.941471715964535         -0.5573641289958076       -0.63262728973007          -0.8421842943496294        
Check         All|All|All                           All                  All      0.9921735723286838        0.9997247954922628        -0.002517280683367318      0.0023473471367940757      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.726111421934    All      -5.780496091536356e-05    0.00044281457893517165    -0.0007760356514310423     0.00012843734710243728     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.938906669708    All      -0.0008932636481577315    0.0004756637189979216     -0.00037929765010779026    0.00042897836778204754     
Lambda        AB|CNIa02|SDSS_r                      6100.736102299742    All      0.0003481500813248185     4.650259509902162e-05     -0.0016975969424996055     -0.00017401246493428107    
MWEBV         All|All|All                           All                  All      -0.9764088808591298       -4.021828543762496        -0.0025884691821631556     -0.9921088870297468        
Redshift      All|All|All                           All                  All      5.681737644876717         -3.9959680131412156       10.610471784918884         -2.6788504962488746        
