#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5410.726111421934    All      0.5790242444164927         0.6434807607432091        0.3259277102868689         0.035540264702285815       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4324.938906669708    All      -1.2964141927061346        0.758486293948657         -0.22453353367304055       0.6593287923588225         
Zeropoint     AB|CNIa02|SDSS_r                      6100.736102299742    All      1.7121901976099674         -0.40229531518480854      -0.1029021957789923        -0.6933495484092828        
Check         All|All|All                           All                  All      0.9948002493203258         0.9996717395070576        -0.0015080191651639513     0.0015195086518254852      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5410.726111421934    All      1.4810737290713429e-05     9.591726644482119e-05     -0.0010574422564806423     -2.0769726379068487e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4324.938906669708    All      -0.0005177622893700294     0.00021196808888763387    -0.00024477596714931325    0.00022677396441635417     
Lambda        AB|CNIa02|SDSS_r                      6100.736102299742    All      -2.6648345886171257e-05    0.00011171697128544473    -0.0008560824902626684     6.867106190759087e-06      
MWEBV         All|All|All                           All                  All      -0.977408750497827         -4.019841443965788        -0.0023423650184295        -0.9911249503177479        
Redshift      All|All|All                           All                  All      5.340606382795681          -1.3407207286947553       6.343038387934034          -1.8932673786135095        
