#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3913.512107177168    All      -3.0889438631406776        0.31947032277077625        -0.30004470581000897      1.0968430166825676         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4686.434617844895    All      4.077935063370306          0.6831375653328919         0.30872621459398686       -1.0920201976019668        
Check         All|All|All                            All                  All      0.9889912002296288         1.0026078881036682         0.008681508783977887      0.004822819080600782       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3913.512107177168    All      -0.0027361267046179176     0.00010680073218774074     -0.0012317315576650385    0.0008710684734220027      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4686.434617844895    All      -0.00015725031033879454    -0.00010028883978380234    -0.001280816016090666     -3.8602711286458966e-05    
MWEBV         All|All|All                            All                  All      -0.09633944853281862       -1.9448439513194415        0.007583169477014953      -0.6017803285238671        
Redshift      All|All|All                            All                  All      7.381006843944681          0.10018315039967973        -2.4916516609332624       -2.482794778857609         
