#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                   dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    3913.512107177168    All      -3.368589740617153       0.46911701248681936      -0.6396872177377277       1.221521043737428          
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    4686.434617844895    All      4.3555961802623555       0.5354283968260987       0.631771780652568         -1.216161253904513         
Check         All|All|All                            All                  All      0.9870064396452023       1.004545409312918        -0.007915437085159738     0.005359789832914963       
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    3913.512107177168    All      -0.004187228114940521    0.0003221568635283715    -0.0013575464245710739    0.0014082739799031452      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    4686.434617844895    All      0.0007094423922847691    4.92402019292836e-05     -0.001803460962683399     -0.00029552975317365186    
MWEBV         All|All|All                            All                  All      -0.06854630024960873     -1.9498702466126616      0.0027569333612031954     -0.6126860737760809        
Redshift      All|All|All                            All                  All      8.035030242487025        -0.8148779846200327      -3.648870942631255        -3.0455386144128793        
