#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5020.859751933594    All      0.9414171248094025         0.36921871008335216       0.5777068178681628        -0.16060344647495506      
Zeropoint     AB|DECam|DECam_r          4132.819712781984    All      -0.45961763132534295       0.3255253341114539        -1.649664764080614        0.18212993249438203       
Zeropoint     AB|DECam|DECam_g          3109.547559922929    All      -0.44552611473145776       0.07288142791246344       -0.06227297984677596      0.16608343465958075       
Zeropoint     AB|DECam|DECam_z          5883.709189248627    All      0.9542089762884937         0.2275215777171269        1.1137511127077337        -0.18700439613368314      
Check         All|All|All               All                  All      0.9904823550410954         0.9951470498243964        -0.020479813351493403     0.0006055245453245872     
Lambda        AB|DECam|DECam_i          5020.859751933594    All      -1.1307893809116769e-05    -3.735419884554859e-06    -7.50235854943368e-05     -8.81354165525157e-07     
Lambda        AB|DECam|DECam_r          4132.819712781984    All      -0.0003397988878209413     7.108093736514089e-05     -0.0010493823211317659    8.700796325440727e-05     
Lambda        AB|DECam|DECam_g          3109.547559922929    All      -0.0011307278146765972     5.519641759828529e-05     -0.00130235491069177      0.00032817642003586645    
Lambda        AB|DECam|DECam_z          5883.709189248627    All      -0.0003255117519934554     -8.065554510029476e-05    -0.0002725062549170007    6.759701953404937e-05     
MWEBV         All|All|All               All                  All      -0.43187037167674247       -2.0991831349725487       0.7541524897399732        -0.5094442580460684       
Redshift      All|All|All               All                  All      6.275541758111991          1.3136365941823769        8.902478998358168         -1.2189790036334025       
