#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_i          5020.859751933594    All      0.7517490809515137         0.3245193753841136        -0.10814730358761827      -0.14398888799964293      
Zeropoint     AB|DECam|DECam_r          4132.819712781984    All      -0.6685261029201623        0.3521481634795265        -1.2036237494369124       0.2787549878589029        
Zeropoint     AB|DECam|DECam_g          3109.547559922929    All      -0.3097654859486866        0.13002240023904932       0.4379497983239191        0.1627970711915677        
Zeropoint     AB|DECam|DECam_z          5883.709189248627    All      1.2168448032477563         0.19313846271309387       0.8850877365180858        -0.29395743343051617      
Check         All|All|All               All                  All      0.9903022953304211         0.9998284018157833        0.011266481817474139      0.0036057376203114666     
Lambda        AB|DECam|DECam_i          5020.859751933594    All      -0.0001321616808624562     -6.591060215531576e-06    -0.0010031470329310889    -3.863362496623638e-06    
Lambda        AB|DECam|DECam_r          4132.819712781984    All      -0.0004694403296724995     0.00020122447849591448    -0.0010012419187925294    0.00017377676393936074    
Lambda        AB|DECam|DECam_g          3109.547559922929    All      -0.0009004775736738889     0.00034558103914453676    0.0010230790039100922     0.00045153760141827636    
Lambda        AB|DECam|DECam_z          5883.709189248627    All      -0.00023857692190795875    -3.14875164058543e-05     5.3600492475607e-05       6.984777621213767e-05     
MWEBV         All|All|All               All                  All      -0.3687087513804388        -2.149572347961737        0.35530379892215636       -0.564230285384027        
Redshift      All|All|All               All                  All      5.6923833432109365         0.11988354359893094       5.671574105162937         -1.562050210815858        
