#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4590.693119748758    All      -0.891034344340977         1.0426132465287452         0.7897044124149041        0.6650935164073499         
Zeropoint     AB|PS|PS_r                5829.86861866978     All      0.5221743092710316         0.1358502871340761         -2.3736974104111708       -0.23176565712159147       
Zeropoint     AB|PS|PS_i                7061.233510922518    All      0.9707994583989848         -0.08845528092553678       1.3323292513864735        -0.28557838172135985       
Zeropoint     AB|PS|PS_z                8115.080293221323    All      0.39855606751824457        -0.09064396074043302       0.2751645337188208        -0.1470692140518564        
Check         All|All|All               All                  All      1.0004954908472838         0.9993642919968515         0.023500787109027532      0.0006802635125421896      
Lambda        AB|PS|PS_g                4590.693119748758    All      -8.038135896975705e-05     -4.219528067876581e-05     -0.000789749913287534     -2.2804449455830918e-05    
Lambda        AB|PS|PS_r                5829.86861866978     All      -0.00012999288013525024    -6.531158703786591e-05     -0.0003654731799934013    4.759435647650926e-06      
Lambda        AB|PS|PS_i                7061.233510922518    All      -0.0006267625345903319     -1.1033219644001948e-05    -0.0015146989163573469    0.00013296923889425844     
Lambda        AB|PS|PS_z                8115.080293221323    All      4.5799628526911906e-05     2.515534323882047e-05      0.0003517347908899618     8.97178536281216e-06       
MWEBV         All|All|All               All                  All      -0.6122626261858581        -3.8451340557619673        0.1711708797748048        -1.0454140127188798        
Redshift      All|All|All               All                  All      5.1331896178988705         0.6086443289888166         6.924480436832517         -1.1647854948091203        
