#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                4590.693119748758    All      -0.9634078231786234        1.0571089564478164        0.676501118115902         0.6883379259961949         
Zeropoint     AB|PS|PS_r                5829.86861866978     All      0.623763927423981          0.02192454100260477       -2.777953747836981        -0.3200062051710237        
Zeropoint     AB|PS|PS_i                7061.233510922518    All      0.9289240907639299         -0.02450859006790651      1.7115187119333797        -0.23418717175796855       
Zeropoint     AB|PS|PS_z                8115.080293221323    All      0.40631629730793223        -0.05778549032680047      0.3941486753797019        -0.13358417560511843       
Check         All|All|All               All                  All      0.9955964923172199         0.9967394170557142        0.004214757592002627      0.0005603734620842626      
Lambda        AB|PS|PS_g                4590.693119748758    All      -4.198843199595503e-06     -0.0002069316407564942    -0.0010539739265257927    -0.00011307075748890304    
Lambda        AB|PS|PS_r                5829.86861866978     All      -0.00031288736668308925    -8.803303098561218e-05    -0.000736790808577138     4.036286479557302e-05      
Lambda        AB|PS|PS_i                7061.233510922518    All      -0.0006207694618603841     -4.080120139937874e-05    -0.0017953609790029702    0.00010879602812299623     
Lambda        AB|PS|PS_z                8115.080293221323    All      0.00013864735570355623     3.39558227337729e-05      0.0007349930445977649     -1.3021126579444733e-06    
MWEBV         All|All|All               All                  All      -0.6258357239935122        -3.8304988744382484       0.19398875034550844       -1.0352073914160917        
Redshift      All|All|All               All                  All      5.491833928136204          1.251703087088174         8.15482056309944          -1.0172379230955721        
