#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7396.050331305909     All      1.2413159671782674        -1.0741144225577592       0.9924100050926643         -0.7099251527812156       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.147484261094     All      -0.32811893631027034      1.8776194215754494        -0.6626888256297703        0.6889087911317399        
Zeropoint     AB|CNIa02|SDSS_r                      6098.9561586260315    All      0.5714903427330855        -0.008457966005437356     -0.9225397943261104        -0.23007695783752447      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.677067521607     All      -0.4883012218050574       0.054118085548271466      0.582070647593852          0.2026589531184647        
Check         All|All|All                           All                   All      0.9963861517960253        0.8491651185605242        -0.010747967269364445      -0.048434366368535486     
Lambda        AB|CNIa02|SDSS_i                      7396.050331305909     All      0.000644874923472741      -0.0007904642230656658    0.0002800589407337961      -0.0004550394370221097    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.147484261094     All      -0.0008847061953364433    0.0017242921721228749     -0.00278848498926498       0.0007253993237557056     
Lambda        AB|CNIa02|SDSS_r                      6098.9561586260315    All      0.00021802090141171424    0.00015213573616048377    -0.00041984776994346244    -4.019684356139571e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.677067521607     All      -0.0005119349397211151    8.395799773669265e-05     0.0007797230560165851      0.00022889739287689897    
MWEBV         All|All|All                           All                   All      -0.7221807056229403       -4.265233826145121        0.1347466649640583         -1.148075839551174        
Redshift      All|All|All                           All                   All      7.62983666963954          -5.680071814312093        10.036124842230908         -3.88760891875114         
