#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7396.050331305909     All      1.2174744855103605        -1.2159529910670486        1.0445866262387686         -0.7460322829911068        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5409.147484261094     All      -0.2830769473358856       2.5371251682740237         -0.8375954171388648        0.8812545744175521         
Zeropoint     AB|CNIa02|SDSS_r                      6098.9561586260315    All      0.7294813424050192        -0.20502895746874472       -0.6502351831812455        -0.33341775894775066       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.677067521607     All      -0.6600929793073367       -0.1887263114497273        0.4289362462490397         0.1726810858611491         
Check         All|All|All                           All                   All      1.0037859012721575        0.9274169082885031         -0.014307727832301942      -0.025514381660156293      
Lambda        AB|CNIa02|SDSS_i                      7396.050331305909     All      0.0004097528846164337     -0.0007418187339101436     -2.1268372340454852e-05    -0.000376053871510495      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5409.147484261094     All      -0.0007743425978166143    0.002087952358602933       -0.002763919908270645      0.0008090025827317488      
Lambda        AB|CNIa02|SDSS_r                      6098.9561586260315    All      0.00014927806589982675    -0.00013221853600161942    -0.0006632953140994642     -0.00012129252766549602    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.677067521607     All      -0.0005068871865730028    -0.00014439844771337742    0.0003361209160998053      0.0001330740405098693      
MWEBV         All|All|All                           All                   All      -0.7321576480102148       -4.255673827747941         0.19309872756707694        -1.1391080306387742        
Redshift      All|All|All                           All                   All      7.839466845693516         -5.5498566531245075        12.195431976276662         -3.8171170417160005        
