#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    5411.818136116553    All      1.058833505991618         0.23433705025190932        0.1542501591182466        -0.261682144606029         
Zeropoint     VEGAHST|TONRY|TONRY_Z            6206.387424808272    All      0.5430747347831074        -0.06564314957433481       -0.11649681806172002      -0.20347815909833805       
Zeropoint     VEGAHST|TONRY|TONRY_J            8492.31619845917     All      0.6511078520163479        -0.07195476777006604       0.29266387617257567       -0.22246503868103293       
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    4453.444548416889    All      -1.2509429369054872       0.900901307115376          -0.32759882399903567      0.6863072329423439         
Check         All|All|All                      All                  All      1.0020731558855858        0.9976404400228844         0.0028183932300665515     -0.0013181094430561036     
Lambda        Linear_AB11_off|TONRY|TONRY_I    5411.818136116553    All      0.0003818975244641138     8.69114530894615e-05       0.00033408474785140977    -8.117800029935151e-05     
Lambda        VEGAHST|TONRY|TONRY_Z            6206.387424808272    All      -8.462037511536157e-05    8.260910166677232e-06      -1.639308448107882e-05    2.952294225020554e-05      
Lambda        VEGAHST|TONRY|TONRY_J            8492.31619845917     All      0.0003847581133288214     -3.3904577591766203e-05    0.0002480913303231239     -0.00012530103539619533    
Lambda        Linear_AB11_off|TONRY|TONRY_R    4453.444548416889    All      -0.0008242698788650639    2.7699400723864813e-05     -0.0034192066855398234    0.00012493093279152212     
MWEBV         All|All|All                      All                  All      -0.14810710030276386      -2.461097631909581         0.011354457754711717      -0.7529104139721244        
Redshift      All|All|All                      All                  All      2.737562082438542         -0.31023069049300744       -0.6965130971747715       -1.023848556105698         
