#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|TONRY|TONRY_I    5411.818136116553    All      1.0717681355161612         0.22522284788948355        -0.01956519342362073      -0.27662075541554193       
Zeropoint     VEGAHST|TONRY|TONRY_Z            6206.387424808272    All      0.7169827337126972         -0.10927692345461537       -0.1508792015172289       -0.2758729992753006        
Zeropoint     VEGAHST|TONRY|TONRY_J            8492.31619845917     All      0.6493441698690265         -0.06995920202808037       0.4321712079336848        -0.21501495648540458       
Zeropoint     Linear_AB11_off|TONRY|TONRY_R    4453.444548416889    All      -1.4423913300335718        0.955314016511366          -0.2202760120919578       0.7711816068040195         
Check         All|All|All                      All                  All      0.9957037090643132         1.0013007389181539         0.04145080090087738       0.003672895627772288       
Lambda        Linear_AB11_off|TONRY|TONRY_I    5411.818136116553    All      0.0006320367564824432      3.8176891581686465e-05     0.0004330406018122698     -0.0001741150822320768     
Lambda        VEGAHST|TONRY|TONRY_Z            6206.387424808272    All      -0.00019174151808031969    1.6044415355879147e-05     -0.0002295696866637736    5.743807373396152e-05      
Lambda        VEGAHST|TONRY|TONRY_J            8492.31619845917     All      0.0003894981674181392      -2.3183957409690242e-05    0.000469327719416422      -0.00011348020432175233    
Lambda        Linear_AB11_off|TONRY|TONRY_R    4453.444548416889    All      -0.0009370993413751695     6.619237191129655e-05      -0.0031058653972439545    0.00018820461037916751     
MWEBV         All|All|All                      All                  All      -0.15726044117018567       -2.457407822418922         0.03884360564021527       -0.7475002629563605        
Redshift      All|All|All                      All                  All      2.0350579702983356         0.011167690820812481       0.25212735149335863       -0.6479963623201737        
