#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4262.516097742675    All      -0.5761986832483198        0.43690409437502353       -0.9011277025496867        0.2897877141283506         
Zeropoint     AB|MEGACAMPSF|z           6004.020868101917    All      0.5327168933959044         0.040385446245316814      0.027665888221983792       -0.1591339480339335        
Zeropoint     AB|MEGACAMPSF|g           3345.541902189345    All      -0.4662909024786543        0.1416420467821311        0.2740524226157781         0.21025346291828895        
Zeropoint     AB|MEGACAMPSF|i           5202.001382018735    All      1.5009502320915082         0.38107049334588083       0.6339404931223092         -0.33649182123383425       
Check         All|All|All               All                  All      0.9911775397604384         1.0000020807483523        0.0345311014103844         0.004415407778871783       
Lambda        AB|MEGACAMPSF|r           4262.516097742675    All      -0.0003253680396791896     -3.053243796596014e-05    -0.002517351831895933      -1.6300195197561375e-05    
Lambda        AB|MEGACAMPSF|z           6004.020868101917    All      -0.00012258349807968226    -1.625795399833064e-05    -7.165563014845995e-05     3.1436066042675115e-05     
Lambda        AB|MEGACAMPSF|g           3345.541902189345    All      -0.0006487184611451342     0.00012472164313536801    -0.00036180027020996114    0.00023578940301685264     
Lambda        AB|MEGACAMPSF|i           5202.001382018735    All      0.00039924229482938493     9.139174394604072e-05     -4.944553713999579e-06     -0.00010049770512774012    
MWEBV         All|All|All               All                  All      -0.45723368271142606       -2.3910266888361065       0.16205826684125846        -0.6226680858525825        
Redshift      All|All|All               All                  All      4.09741147546068           0.1826197223090631        0.08439034864720085        -1.2714105131553584        
