#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           4262.516097742675    All      -0.7235155652348761        0.45960399310303046       -0.997059575466849         0.34088677410389195        
Zeropoint     AB|MEGACAMPSF|z           6004.020868101917    All      0.6635076236622386         0.026435070587105258      0.05826370678418284        -0.20491544796276884       
Zeropoint     AB|MEGACAMPSF|g           3345.541902189345    All      -0.4570937249571535        0.13359419545668771       0.19378037527889685        0.2010540168817753         
Zeropoint     AB|MEGACAMPSF|i           5202.001382018735    All      1.5056717548237053         0.3805914657554865        0.75165462276691           -0.33293277060232973       
Check         All|All|All               All                  All      0.9885700882939144         1.00022472490231          0.0066391293631405945      0.0040925724205687075      
Lambda        AB|MEGACAMPSF|r           4262.516097742675    All      -0.0003056585979141453     3.4139226183265152e-06    -0.0021663955854208743     3.998803039026736e-06      
Lambda        AB|MEGACAMPSF|z           6004.020868101917    All      -0.00016037186953248917    -1.446467812833786e-05    -0.00013228007762394587    4.162372012041392e-05      
Lambda        AB|MEGACAMPSF|g           3345.541902189345    All      -0.0008441371284654013     0.0001730136255935396     -0.0004774501382412022     0.0003100130570423115      
Lambda        AB|MEGACAMPSF|i           5202.001382018735    All      0.0004308623247450844      8.829342563249347e-05     0.0002458956722471435      -0.00010061276612857729    
MWEBV         All|All|All               All                  All      -0.40691716835891345       -2.3967481811935087       0.21745309732148685        -0.6384494913685836        
Redshift      All|All|All               All                  All      3.4680389896545125         -0.08344447731882809      -0.3851147822578648        -1.1740209094927259        
