#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4219.733246298882    All      -0.9799261115973573        0.6600983262046611        0.8315572532635651        0.5713184956023215         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5966.993250149465    All      1.1727267498423664         -0.11555738015971428      -1.7508136794467692       -0.4977672977479766        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5154.743705450964    All      0.10044593848924988        0.5515701906926296        -0.8754107311641113       0.10788045017390765        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7295.562928223224    All      0.703006963077584          -0.09749586167684399      1.7885752622686824        -0.18093420645720476       
Check         All|All|All                              All                  All      0.996253539811843          0.9986152750607324        -0.006091895078633058     0.0004974415710477798      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4219.733246298882    All      -0.000648904657313216      0.00030278951480838877    -0.0005606689852168405    0.00028497801991755623     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5966.993250149465    All      -0.00010359325054419449    1.4704966067887142e-05    -0.0005510033244762328    1.3944873341640962e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5154.743705450964    All      -8.863339764336109e-05     0.0001384872554660438     -0.0019690690614746673    -1.3889839841245785e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7295.562928223224    All      -0.000245866344561675      5.8115253676820755e-05    -0.0005093106175333457    7.62886135623542e-05       
MWEBV         All|All|All                              All                  All      -0.7946834206397191        -3.8952891051735605       0.2525567529435391        -0.9986988304171259        
Redshift      All|All|All                              All                  All      7.715274310010491          -0.46442647374949075      18.61182069611506         -1.8338375727661949        
