#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4219.733246298882    All      -0.9955080182311897        0.6371277337082759        0.5780320506397546        0.5575980921423818         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5966.993250149465    All      1.2036268483139851         -0.10764122919386665      -1.5028140730799742       -0.49418684218886266       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5154.743705450964    All      0.14775459133832086        0.5648678436921628        -0.5436070312751404       0.11160882380102531        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7295.562928223224    All      0.6408900205402988         -0.09581926481017078      1.4728283795531147        -0.17424488513084457       
Check         All|All|All                              All                  All      0.9967634419614152         0.9985350833964013        0.0044393258377548594     0.0007751886236998518      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4219.733246298882    All      -0.0006033792779703677     0.0002591463395961521     -0.0007539936609452316    0.00024730569577101726     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5966.993250149465    All      -0.00016926163935860483    2.7350511705803158e-05    -0.0005896862373059126    3.772805750928272e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5154.743705450964    All      -6.247235608654986e-05     0.0001179006633532627     -0.0016807245634195298    -1.6249591449075906e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7295.562928223224    All      -0.00023566874388418788    5.4125659962008465e-05    -0.0004262497737970397    7.537400157524493e-05      
MWEBV         All|All|All                              All                  All      -0.7974542389597743        -3.894698827679477        0.22728529321038304       -0.9987317601139675        
Redshift      All|All|All                              All                  All      7.644439492954528          -0.22668060813302304      16.63821682035079         -1.8213955689574894        
