#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.7977162029329049        0.5735684964591314        0.134651977547919          0.4526814398423783         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.5346052406375422         -0.04272865973415918      0.6874114813550519         -0.15738062782607795       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.4763754347300102         0.24392522555363172       0.3752424978900675         -0.05897133125910073       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.5159699107698783        0.25195206887751453       -0.14506502466219715       0.24366386686275956        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.3016677071274871         -0.029072493346138373     -1.0462920200760113        -0.480157070757016         
Check         All|All|All                      All                  All      0.9989622687922564         0.9976446378099801        0.005948912054829947       -0.00016372313705687036    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00024324442279909526    1.650812206781932e-05     -0.001268426186340905      2.800591444241387e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.00033676510253222413    2.6009423031833445e-05    -0.0005061705953859434     9.55795289889848e-05       
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.0001767861899138165      5.315957176011778e-05     8.853447549890803e-05      -3.631836971021119e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.0003283569694570596     0.00011762575035410653    -0.000495670849960017      0.00012315173073832047     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.00019333965619316065    6.001556608414355e-06     -0.00027791804003000036    5.2529785445428334e-05     
MWEBV         All|All|All                      All                  All      -0.7741541413556288        -3.7965748751095596       0.06576864053118384        -0.9815669153098238        
Redshift      All|All|All                      All                  All      5.5451375112934675         0.27119261556451946       4.950292031432267          -1.496988562678413         
