#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.6985776138653653        0.5481924385090764        0.4976449838791419         0.4283216336045226        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      0.5764020289652965         -0.04185635400757448      0.8282554300782174         -0.16442585962610917      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.489055988563006          0.2571065122135785        0.39530013144750686        -0.05791314603945247      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.5906722228880377        0.2649033326667549        -0.3876396980441399        0.2613905266849334        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      1.223669648373218          -0.029469771683121593     -1.3249322506296513        -0.4673143773265803       
Check         All|All|All                      All                  All      0.9998778291481171         0.9988761576987137        0.008628596731075078       5.87772973140166e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4428.204744472182    All      -0.00013576970150021495    1.93512732721369e-05      -0.0009981560367283188     5.98488525751537e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7083.482220533009    All      -0.0003416844119109955     2.844975525514564e-05     -0.0005722105253779592     9.502974761868429e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5154.042975500654    All      0.00010545954168323289     7.774989132262442e-05     0.0001060014550175314      -4.295586652510316e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4112.756634382921    All      -0.00040212247828494657    0.0001362909618206055     -0.0004851102890309317     0.00015373072654993958    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    5837.346253074591    All      -0.00012873156199656502    -5.649660815359564e-06    -0.00024790349529213115    2.90290300736754e-05      
MWEBV         All|All|All                      All                  All      -0.7707185622666839        -3.797391452721577        0.07741792498807687        -0.9824321285770445       
Redshift      All|All|All                      All                  All      5.441318628063903          -0.01755058946422139      2.956875441281648          -1.6461815251050615       
