#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i            7344.30811625031      All      0.11920147723530776        -0.01649315381921923       0.06083791988839016        -0.04148528860906109       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g            4591.258795140731     All      -0.28540944848430205       0.2219181940767534         -0.1481010585028697        0.15864423372839165        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r            6052.28729727695      All      0.5952335495140615         -0.03155860521273368       0.03245733064355383        -0.20271840404841313       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7408.672430986375     All      0.23601591467165076        -0.029780992869632428      0.08141904785214926        -0.08294543908323737       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B            4264.195347664463     All      -0.21717042626943356       0.1493761237275848         0.15016853739450164        0.12609760248210589        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4681.130922344417     All      -0.24016852343020162       0.2708594728705549         -0.13537580606777233       0.16041743025064226        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3501.932468316808     All      -0.12441208904660883       0.04478565212817642        -0.026366954036838308      0.05393663468134802        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6059.504773407596     All      0.6961365507366437         -0.03754055259603817       -0.02105317281427821       -0.23992227622418177       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V            5343.823627699322     All      0.2692984959572942         0.07182184227767507        0.1903559243397579         -0.055829932262238535      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4285.155467171732     All      -0.35543861657795817       0.21175116675191674        -0.13645431368258798       0.17866304311249526        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5234.6622125122185    All      0.2972238593413219         0.14038511040421753        -0.07362463389670726       -0.05437306963548966       
Check         All|All|All                              All                   All      0.9905107436477755         0.9955242577392553         -0.025737178882700995      0.0004845343923615131      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i            7344.30811625031      All      -3.0706402210400884e-05    4.692246371170876e-06      -1.564876293548689e-05     1.0832172006322494e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g            4591.258795140731     All      -0.00022723750125438935    5.112243660206013e-05      -0.0004695164257880271     6.971862785781425e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_r            6052.28729727695      All      -2.4045562423461703e-05    5.307323285742134e-06      -0.0001223862946729604     4.099662325409858e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7408.672430986375     All      -1.286532847494576e-05     -8.372322987249248e-06     -0.00012801375944900323    -4.249146435445255e-06     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B            4264.195347664463     All      -7.90582982618801e-05      7.33134427091367e-05       8.376212333089914e-05      5.3370407774381114e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4681.130922344417     All      -0.00019230665939681918    2.7586104903998357e-05     -0.0003555671862131366     5.575897713016868e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3501.932468316808     All      -0.0002762410707368075     9.465789588988021e-05      6.406321660928488e-06      0.00012109988035642833     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6059.504773407596     All      -1.87710930413055e-05      -1.230678248642127e-06     -0.00025655484431436407    -5.7353742274933255e-06    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V            5343.823627699322     All      0.00028173588027977266     -1.1382970960315681e-05    9.151329920947347e-06      -9.50700713488334e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4285.155467171732     All      -0.0003127255082089965     8.60841797673509e-05       -0.0005941369761836566     0.0001033918313482692      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5234.6622125122185    All      0.00016400885574216636     1.1083926929007205e-05     -0.0006644488448102433     -7.946398063588355e-05     
MWEBV         All|All|All                              All                   All      -0.9626326379988002        -3.928294477332628         0.0019318796072864686      -0.9659274175334298        
Redshift      All|All|All                              All                   All      5.187642330527627          -0.6086131398872041        6.910823620028683          -1.5796327799579484        
