#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5249.923618379602    All      0.3572738900646207         0.46306839248497766        0.01290267718371818        0.03503653719691413       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      1.2606838751102756         -0.09998477797630301       -0.20584187597030013       -0.452400322506355        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -1.0996185644962897        0.7373159646866689         0.06318812350041836        0.6011698052451192        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      0.47785325419705593        -0.10184444771628165       0.12547806180492338        -0.18322710340262643      
Check         All|All|All                              All                  All      0.9961924548756627         0.9985551314790619         -0.0042730134812402065     0.0005789165330519208     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5249.923618379602    All      0.0001283003899442128      1.581876857687852e-05      -0.0012718653931458183     -9.339647564440112e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      -0.00021067418147532839    -4.6617922016140845e-06    -0.0004844166200969773     4.54877238828757e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -0.0005436460977104748     0.0001503731703519234      -0.0013447017377915165     0.00016605704559770695    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      -9.08935628648193e-05      5.752037199787558e-06      -0.00027719383814593543    1.9110763595639646e-05    
MWEBV         All|All|All                              All                  All      -0.8427683691128682        -3.9880914694270686        0.041695011027129136       -1.0226745549848482       
Redshift      All|All|All                              All                  All      5.841770036139862          0.2403654989874937         9.463649784086867          -1.4022425135936378       
