#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5249.923618379602    All      0.34698340943588224        0.4682552221575875         -0.03989138946024542       0.03772204963050542       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      1.2620371009270053         -0.09934967550737639       -0.07361199260656177       -0.446733426521655        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -1.1002013261685906        0.7281113008904327         -0.086653044980213         0.591674644917503         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      0.4892023112254079         -0.0988273979141141        0.20186012545252086        -0.1825325315806276       
Check         All|All|All                              All                  All      0.9980214954197051         0.9981894496265298         0.0017036984055006643      0.00013073644572580978    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5249.923618379602    All      9.260550744742308e-05      6.482479345535459e-05      -0.0013028928050305081     -6.719121442385933e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6077.170968082255    All      -0.00014419739072257874    -2.2006096999079835e-05    -0.0005913234850525706     1.3413673052539652e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4297.648631799056    All      -0.0006172514935959471     0.0002231023783362346      -0.0011703598469123225     0.00022150311821016075    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7430.272059065052    All      -0.00010115083938390211    4.85553062711931e-06       -0.00033588820118366305    1.9540614478455887e-05    
MWEBV         All|All|All                              All                  All      -0.8431602370354581        -3.990258102176547         0.03411239428040644        -1.0235910316367014       
Redshift      All|All|All                              All                  All      5.866936961019293          -0.2488026558313372        9.211077982009897          -1.5810494896792426       
