#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7556.914927729714    All      0.45486534556557995       -0.16300685227559342      0.14421844022463048        -0.19482549561250784      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5374.458848883101    All      0.28733137481272736       0.6897706181719698        -0.27564372732320486       0.11878698785536268       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4341.325903894885    All      -1.0434283958891244       0.6630207735403459        -0.08608255425279765       0.5520051659598818        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6206.960819642901    All      1.2969048903535323        -0.19092341829045623      0.22026895726150464        -0.47480503631894544      
Check         All|All|All                                All                  All      0.9956732148427153        0.9988611211462661        0.0027611159101326166      0.0011616218837912085     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7556.914927729714    All      -8.985642586781972e-05    2.0643385846232046e-05    -0.00012508490381579241    3.0411459247976613e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5374.458848883101    All      -5.774333313253045e-05    0.00031029138839438206    -0.0016907669967661221     4.44298511302781e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4341.325903894885    All      -0.0009625326893219063    0.000474919733718568      -0.0008125614776285651     0.000431964658177642      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6206.960819642901    All      -0.0001118472462935179    4.870170909857213e-05     5.200429244082262e-05      5.461678939950578e-05     
MWEBV         All|All|All                                All                  All      -0.8552804782731784       -4.078207353812324        0.027211321240594444       -1.0485989982179755       
Redshift      All|All|All                                All                  All      7.174305680244684         -3.5663001949746587       5.566440268362505          -3.250164025554944        
