#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7556.914927729714    All      0.44330554010729084        -0.16213107232214696      0.0825848840979017         -0.19352523886254897      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5374.458848883101    All      0.38837117852354053        0.5946268824992273        -0.2487056778949947        0.05608567625539824       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4341.325903894885    All      -1.114583511924749         0.7303186998909972        -0.08067564247992949       0.5973451624742657        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6206.960819642901    All      1.2799381099248925         -0.16483569112644147      0.2464240277657264         -0.4596135860740813       
Check         All|All|All                                All                  All      0.9970313166309751         0.9979788189416361        -0.00037240851129607955    0.00029201379303367414    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7556.914927729714    All      -0.00011200432814013676    2.476678678836246e-05     -0.00019746339849999124    3.573896720977213e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5374.458848883101    All      -2.1559435335631186e-05    0.00020941310633219726    -0.0017768138466417746     -4.05568577266928e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4341.325903894885    All      -0.0007833965164751527     0.0003651412451202396     -0.0008663001242547741     0.00033545753894869323    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6206.960819642901    All      -0.0003209082354275041     8.80204651072698e-05      -0.0002902707520498833     0.00012024808062017588    
MWEBV         All|All|All                                All                  All      -0.8781553146092751        -4.06479055959581         0.01415411283904407        -1.0373603034291812       
Redshift      All|All|All                                All                  All      7.232681205631799          -2.3306369193174525       5.7765740664603            -2.8573053673759583       
