#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7873.454507982709     All      0.13122858945052085       -0.0184089837247825       0.12150656251978546       -0.043319600687326626      
Zeropoint     AB|SDSS|SDSS_g            4179.2016609357315    All      -0.7911742596779223       0.617400925445466         -0.0695056010429626       0.45571756279495196        
Zeropoint     AB|SDSS|SDSS_r            5460.967226288954     All      0.7681486561330754        0.41678404763167975       -0.9768256596708702       -0.15804225533430127       
Zeropoint     AB|SDSS|SDSS_u            3178.2266504564814    All      -0.08485989896581325      0.04783374938952534       0.13026292813013685       0.049035722967155485       
Zeropoint     AB|SDSS|SDSS_i            6622.377241738374     All      0.9699992798749464        -0.06341849069038119      0.8023892195031322        -0.30081122068188876       
Check         All|All|All               All                   All      0.9933423668148069        1.0001912480515074        0.007827449439221756      0.002580209058590799       
Lambda        AB|SDSS|SDSS_z            7873.454507982709     All      1.534656868499748e-05     -9.514105336510468e-07    3.610391675798439e-05     -3.6976360334868624e-06    
Lambda        AB|SDSS|SDSS_g            4179.2016609357315    All      -0.0006679116565672092    0.00033737853773364705    -0.001037551045976448     0.00028115495146647656     
Lambda        AB|SDSS|SDSS_r            5460.967226288954     All      5.65365076654709e-05      6.775481396658627e-05     -0.0017320362262485639    -7.363865038923059e-05     
Lambda        AB|SDSS|SDSS_u            3178.2266504564814    All      -5.70106291759842e-05     3.183552763304606e-05     8.656126965562896e-05     3.28029481276389e-05       
Lambda        AB|SDSS|SDSS_i            6622.377241738374     All      -0.0004242439668037659    2.0449571953707103e-05    -0.0006250078358774755    0.00011696008639812991     
MWEBV         All|All|All               All                   All      -0.7572216606890434       -3.4517883226872215       0.24276172121562126       -0.8668756697692632        
Redshift      All|All|All               All                   All      3.7941141653098613        -0.5558666114417576       5.723855539414342         -1.1615024650983239        
