#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3532.3959606127905    All      -0.2619822287599052        0.0876132047936018        -0.011393850034047137      0.11336627885955783        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7473.120856981663     All      0.3278201791250134         -0.05928075902090768      0.36848361910370997        -0.10964777926016703       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4721.852323193665     All      -0.28411765115905474       0.4302282669986113        0.028333529808166613       0.23395036213074427        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6112.216719926341     All      1.091290013324016          -0.07128205282080913      0.25688647259176633        -0.36722430599340494       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5280.81610516495      All      0.6505460596416901         0.29720354565068163       -0.514862883324918         -0.1380712472333949        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4322.432256984877     All      -0.5281505897981504        0.3135900738828745        -0.14166730125509952       0.2678606656055623         
Check         All|All|All                              All                   All      0.9954057823736091         0.9980722794840524        -0.01422041311042177       0.0002339741088975833      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3532.3959606127905    All      -0.0005953761919771081     0.00017591128982960991    -0.00046445537887823934    0.0002305071970359607      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7473.120856981663     All      -0.00013440549676045       3.8480520318592924e-05    -0.00041187161515167777    3.793472501734954e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4721.852323193665     All      -0.00013537846753242618    -9.74557725448376e-05     -0.0018334475602885215     -6.946567451854688e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6112.216719926341     All      -0.000272086690067133      7.100139370166482e-05     -0.0007915997735975017     7.64296139367883e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5280.81610516495      All      9.133302547667928e-05      7.791523669514096e-05     -0.0009452570722370586     -4.6553096963522924e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4322.432256984877     All      -0.0002604640260761476     4.2242452825373274e-05    -0.0008887938010343828     5.89386736676907e-05       
MWEBV         All|All|All                              All                   All      -1.0378404250558702        -3.9603401861898035       0.11821150861239804        -0.9466790828840506        
Redshift      All|All|All                              All                   All      7.403954897059085          -0.22376760612887736      15.737108073478245         -1.7823253085086137        
