#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3532.3959606127905    All      -0.2767195128626727        0.09389367652490321       -0.0034698866986324238     0.12056606348855481        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7473.120856981663     All      0.35108354916324813        -0.06770272878311445      0.33505430947502157        -0.12146053340335004       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4721.852323193665     All      -0.2812135746590305        0.44034418274003784       0.12092349931536586        0.2404313605228904         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6112.216719926341     All      1.1072245490938926         -0.07619430825158702      0.16909501796031054        -0.37793252113515213       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5280.81610516495      All      0.626598478305999          0.30095634250182357       -0.5143482868709257        -0.12902535866628415       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4322.432256984877     All      -0.5327212524462994        0.30636994910322457       -0.10612366839508004       0.268583797713159          
Check         All|All|All                              All                   All      0.9942522365951371         0.9976671138352877        0.0011309847860598715      0.0011628085198178706      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3532.3959606127905    All      -0.0006245156117796152     0.00018960114566915219    -0.0005061208362482773     0.00024259876315399137     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7473.120856981663     All      -0.00012105645724352177    3.923655865229536e-05     -0.00037523775405462424    3.5467571202063064e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4721.852323193665     All      -0.00013642566388955362    -8.053697944052008e-05    -0.0015445813836304427     -5.0722789937569106e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6112.216719926341     All      -0.00021875598918659164    7.271146659536982e-05     -0.0005781516109464561     6.914028830042247e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5280.81610516495      All      0.00015680828059720759     8.654806836532245e-05     -0.0009904043475123451     -6.708325988308679e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4322.432256984877     All      -0.0003010184404473837     5.6866780221487936e-05    -0.0010338773179444105     7.04377941727972e-05       
MWEBV         All|All|All                              All                   All      -1.0359200828766761        -3.9631118489620754       0.07402030914403236        -0.9501794735285559        
Redshift      All|All|All                              All                   All      7.309194419445115          -0.5164133741378585       16.27681160886728          -1.822698567807217         
