#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4586.150038281536    All      -1.0941192819440115        1.053007113147686          0.16292456155706622       0.7066602801384416         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7336.136003516293    All      0.8582754534114322         -0.3622798843821329        0.6607161269970991        -0.36809030240878254       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6045.552833892636    All      1.2384492749441152         0.30512222427834246        -0.8106272899591076       -0.3401898988241598        
Check         All|All|All                      All                  All      1.0026054464115355         0.9958494530438955         0.01301339859505779       -0.0016199210945007092     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4586.150038281536    All      -0.0007105414737152898     0.0007053674997816495      -0.0004145276330427048    0.00044270967028341656     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7336.136003516293    All      0.0003680228834010216      -0.0003584696424281584     0.00027119588889736604    -0.00022454028959291236    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6045.552833892636    All      -0.00016177232110226367    -0.00010645274899605134    -0.0009819199519154468    -2.579917306391007e-05     
MWEBV         All|All|All                      All                  All      -0.7623741674139142        -4.038487925740952         0.11702677670722325       -1.0619156644684524        
Redshift      All|All|All                      All                  All      10.277103582245283         -1.655455863866706         11.717984255685886        -3.3639073625677605        
