#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4586.150038281536    All      -1.2242867464920357       1.075593058962121          0.3250033782322137         0.7636499245185571         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7336.136003516293    All      0.8987464446696674        -0.3371729511823407        0.012305754848518369       -0.40203045844878216       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6045.552833892636    All      1.2439153071619216        0.2901643311236324         -0.425800114053132         -0.3296695738317812        
Check         All|All|All                      All                  All      0.9183750053395532        1.0285844389034127         -0.08849098097239994       0.031949892237993716       
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4586.150038281536    All      -0.001199032537294984     0.0010288344690803576      -0.00022721228798026108    0.0007155501377596241      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7336.136003516293    All      0.00023627309514584103    -0.00029212149254762633    -0.00036392661616042334    -0.0001883558743020995     
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6045.552833892636    All      0.00036640495650553685    -0.0001573899804436114     -0.00014407434139249197    -0.00017704661945274256    
MWEBV         All|All|All                      All                  All      -0.8816616350476933       -3.9931689717104035        -0.12338299346152937       -1.019026321422456         
Redshift      All|All|All                      All                  All      8.189423223664207         -3.2706337606727587        4.383006002219769          -3.53732415701396          
