#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6280.465758744804     All      1.049241895614399          -0.14233001654471167       -0.6542344419296464        -0.41732965169494207      
Zeropoint     AB|MEGACAMPSF|g           4036.3891080296166    All      -0.7774938574349654        0.5067230666574218         -0.04432435026692216       0.41633370948072274       
Zeropoint     AB|MEGACAMPSF|z           7242.475415862983     All      0.5280964815520757         -0.015720683633979604      0.5684086491418383         -0.15177367434971445      
Zeropoint     AB|MEGACAMPSF|r           5142.070014250294     All      0.19429674192278362        0.6511056097174617         0.13214980753989414        0.15469491577447675       
Check         All|All|All               All                   All      0.9941412616542927         0.9997779761961922         0.0019996644851638656      0.0019252992105429634     
Lambda        AB|MEGACAMPSF|i           6280.465758744804     All      -0.0003268004502529546     -2.8882865879282038e-05    -0.00047554186571909283    7.58203090456537e-05      
Lambda        AB|MEGACAMPSF|g           4036.3891080296166    All      -0.0005696243223708517     0.00025281089399810353     -0.0006989182708171972     0.00023670469487524403    
Lambda        AB|MEGACAMPSF|z           7242.475415862983     All      -0.00010273190202283222    6.55743362571575e-06       -7.907522449010418e-05     3.207036804345397e-05     
Lambda        AB|MEGACAMPSF|r           5142.070014250294     All      -0.0001058389667381461     -2.250917003250274e-05     -0.0018702881405344147     -5.631911353341092e-05    
MWEBV         All|All|All               All                   All      -0.511488620153326         -3.1861567325762508        0.08538443638352877        -0.8674170829440982       
Redshift      All|All|All               All                   All      6.7093064557404345         0.6116455934073173         3.9071073804832768         -1.8118524922498074       
