#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           6280.465758744804     All      1.105001837022929          -0.1507261117517089       -0.4998262007998676       -0.4313368528613094       
Zeropoint     AB|MEGACAMPSF|g           4036.3891080296166    All      -0.7801171141451788        0.4851098471295501        -0.19665451186943425      0.4033502583545982        
Zeropoint     AB|MEGACAMPSF|z           7242.475415862983     All      0.512974886388345          -0.039323188002171605     0.39309442303410047       -0.1623596542133045       
Zeropoint     AB|MEGACAMPSF|r           5142.070014250294     All      0.15636613635490915        0.7047911743411461        0.30513950456176636       0.19225705215348504       
Check         All|All|All               All                   All      0.9942257456210042         0.9998517217168157        0.0017532149265649388     0.0019108034334693325     
Lambda        AB|MEGACAMPSF|i           6280.465758744804     All      -0.00020523531517665407    -3.239340242734099e-05    -0.0003914784077395269    3.8830413970357626e-05    
Lambda        AB|MEGACAMPSF|g           4036.3891080296166    All      -0.0007002625375504639     0.0003392146473854356     -0.0007196820464076244    0.00030647581256614166    
Lambda        AB|MEGACAMPSF|z           7242.475415862983     All      -8.07532290603026e-05      7.844329988871677e-06     -4.886672586363347e-05    2.667844221689137e-05     
Lambda        AB|MEGACAMPSF|r           5142.070014250294     All      -7.28830203251156e-05      1.083229881288469e-05     -0.0018757406810509785    -5.64368580345224e-05     
MWEBV         All|All|All               All                   All      -0.5128705124624209        -3.1901034129393935       0.06454060128981269       -0.8691826834202828       
Redshift      All|All|All               All                   All      6.806560386719239          0.13609754379828587       3.903749401333682         -1.9985827931394917       
