#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4455.10310886478     All      -1.16843761458458          0.8503064469445931        -0.17588455344349688      0.6497224357353141         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5388.035250103745    All      0.46572426798883915        0.49338672145577966       0.2244093994826213        0.019024931985687166       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7891.687269352298    All      0.3968637829484297         -0.10354466281321528      0.08432517466806237       -0.15923644847951807       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6369.283731276467    All      1.3042768723033156         -0.24195709511354302      -0.1318179884924131       -0.5095417041825144        
Check         All|All|All                       All                  All      0.9984273086560048         0.9981914104736145        0.0010320322147737149     -3.078494103136986e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4455.10310886478     All      -0.000983372964730539      0.0006179986822599827     -0.0004140875271896646    0.0005031406044838885      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5388.035250103745    All      0.00019648963598799555     0.00011963532317982073    -0.0009279003484605532    -6.644190897305233e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7891.687269352298    All      3.344581729121476e-05      1.2851990611229687e-05    0.0001246871886185586     -1.1438703059421968e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6369.283731276467    All      -0.00012707493754206977    -7.113180150468895e-05    -0.0005481047940481658    -6.236879722220811e-06     
MWEBV         All|All|All                       All                  All      -0.842566996205135         -4.135000993585747        0.006415629378812118      -1.0721677707347606        
Redshift      All|All|All                       All                  All      3.8107603075605767         -1.0258000577316517       -3.736219576139964        -1.7421571489327048        
